Numéro;Référence;Titre;Nom;Prénom;Civilité;Circonscription;Groupe;Type Appartenance;Date de publication JO;Ministère de dépôt;Ministère de réponse;Thème(s);URL Question
0608G;SEQ06010608G;Violences scolaires;Papon;Monique;Mme;Loire-Atlantique;UMP;;2006-01-27;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06010608G.html
0609G;SEQ06010609G;Généralisation de la précarité - CPE (Contrat premier emploi);Sueur;Jean-Pierre;M.;Loiret;SOC;;2006-01-27;Premier ministre;Emploi et travail;Travail;http://www.senat.fr/questions/base/2006/qSEQ06010609G.html
0610G;SEQ06010610G;Projet de loi sur la parité;Masson;Jean Louis;M.;Moselle;NI;;2006-01-27;Intérieur;Cohésion sociale;Pouvoirs publics et Constitution,Société;http://www.senat.fr/questions/base/2006/qSEQ06010610G.html
0611G;SEQ06020611G;Prix de l'eau et service public;Muzeau;Roland;M.;Hauts-de-Seine;CRC;;2006-02-03;Économie;Écologie;Collectivités territoriales,Économie et finances, fiscalité,Environnement;http://www.senat.fr/questions/base/2006/qSEQ06020611G.html
0612G;SEQ06020612G;Contrat première embauche;Seillier;Bernard;M.;Aveyron;RDSE;;2006-02-03;Premier ministre;Emploi;Travail;http://www.senat.fr/questions/base/2006/qSEQ06020612G.html
0613G;SEQ06020613G;Arcelor;Humbert;Jean-François;M.;Doubs;UMP;;2006-02-03;Économie;Économie;Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06020613G.html
0614G;SEQ06020614G;Financement du plan de cohésion sociale (maisons de l'emploi);Bockel;Jean-Marie;M.;Haut-Rhin;SOC;;2006-02-03;Emploi;Emploi;Travail;http://www.senat.fr/questions/base/2006/qSEQ06020614G.html
0615G;SEQ06020615G;Arcelor;Biwer;Claude;M.;Meuse;UC-UDF;;2006-02-03;Économie;Économie;Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06020615G.html
0616G;SEQ06020616G;TVA dans le contexte européen;Fourcade;Jean-Pierre;M.;Hauts-de-Seine;UMP;;2006-02-03;Économie;Économie;Économie et finances, fiscalité,Union européenne;http://www.senat.fr/questions/base/2006/qSEQ06020616G.html
0617G;SEQ06020617G;Politique agricole et PAC;Sutour;Simon;M.;Gard;SOC;;2006-02-03;Agriculture;Agriculture;Agriculture et pêche,Union européenne;http://www.senat.fr/questions/base/2006/qSEQ06020617G.html
0618G;SEQ06020618G;Hamas;Dulait;André;M.;Deux-Sèvres;UMP;;2006-02-03;Affaires étrangères;Affaires européennes;Affaires étrangères et coopération,Union européenne;http://www.senat.fr/questions/base/2006/qSEQ06020618G.html
0619G;SEQ06020619G;Chiffres du chômage;Miraux;Jean-Luc;M.;Eure;UMP;;2006-02-03;Emploi;Emploi;Société,Travail;http://www.senat.fr/questions/base/2006/qSEQ06020619G.html
0620G;SEQ06020620G;Places en crèche;Campion;Claire-Lise;Mme;Essonne;SOC;;2006-02-03;Sécurité sociale;Sécurité sociale;Questions sociales et santé,Sécurité sociale;http://www.senat.fr/questions/base/2006/qSEQ06020620G.html
0621G;SEQ06020621G;Projet d'autoroute entre Pau et Bordeaux;Fortassin;François;M.;Hautes-Pyrénées;RDSE;;2006-02-10;Transports et équipement;Transports et équipement;Aménagement du territoire,Transports;http://www.senat.fr/questions/base/2006/qSEQ06020621G.html
0622G;SEQ06020622G;Situation en Iran;Vinçon;Serge;M.;Cher;UMP;;2006-02-10;Affaires étrangères;Affaires étrangères;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06020622G.html
0623G;SEQ06020623G;Contrat première embauche;Assouline;David;M.;Paris;SOC;;2006-02-10;Emploi;Cohésion sociale;Travail;http://www.senat.fr/questions/base/2006/qSEQ06020623G.html
0624G;SEQ06020624G;Organismes génétiquement modifiés (OGM);Détraigne;Yves;M.;Marne;UC-UDF;;2006-02-10;Enseignement supérieur;Enseignement supérieur;Recherche, sciences et techniques,Union européenne;http://www.senat.fr/questions/base/2006/qSEQ06020624G.html
0625G;SEQ06020625G;Manque d'effectifs dans l'éducation nationale;Renar;Ivan;M.;Nord;CRC;;2006-02-10;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06020625G.html
0626G;SEQ06020626G;Collèges en ZEP;Gouteyron;Adrien;M.;Haute-Loire;UMP;;2006-02-10;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06020626G.html
0627G;SEQ06020627G;Assurabilité des communes;Collombat;Pierre-Yves;M.;Var;SOC;;2006-02-10;Intérieur;Collectivités territoriales;Collectivités territoriales;http://www.senat.fr/questions/base/2006/qSEQ06020627G.html
0628G;SEQ06020628G;Financement du TGV Rhin-Rhône;Humbert;Jean-François;M.;Doubs;UMP;;2006-02-10;Transports et équipement;Transports et équipement;Transports;http://www.senat.fr/questions/base/2006/qSEQ06020628G.html
0629G;SEQ06020629G;Problèmes de la filière viticole;Courteau;Roland;M.;Aude;SOC;;2006-02-10;Agriculture;Industrie;Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06020629G.html
0630G;SEQ06020630G;Statut des aiguilleurs du ciel;Dominati;Philippe;M.;Paris;NI;;2006-02-10;Premier ministre;Transports et équipement;Transports,Travail;http://www.senat.fr/questions/base/2006/qSEQ06020630G.html
0631G;SEQ06020631G;Procédure judiciaire à l'encontre de M. Georges Frêche;de Rohan;Josselin;M.;Morbihan;UMP;;2006-02-24;Justice;Justice;Justice;http://www.senat.fr/questions/base/2006/qSEQ06020631G.html
0632G;SEQ06020632G;Contrat première embauche;Domeizel;Claude;M.;Alpes de Haute-Provence;SOC;;2006-02-24;Premier ministre;Emploi;Travail;http://www.senat.fr/questions/base/2006/qSEQ06020632G.html
0633G;SEQ06020633G;Chikungunya;Payet;Anne-Marie;Mme;La Réunion;UC-UDF;;2006-02-24;Santé et solidarités;Santé et solidarités;Outre-mer,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06020633G.html
0634G;SEQ06020634G;Bénéfices des grandes entreprises;Didier;Évelyne;Mme;Meurthe-et-Moselle;CRC;;2006-02-24;Premier ministre;Emploi et travail;Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06020634G.html
0635G;SEQ06020635G;Mme Ingrid Betancourt;Pelletier;Jacques;M.;Aisne;RDSE;;2006-02-24;Affaires étrangères;Affaires étrangères;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06020635G.html
0636G;SEQ06020636G;Conséquences de la grippe aviaire sur la filière agricole;Barraux;Bernard;M.;Allier;UMP;-R;2006-02-24;Agriculture;Agriculture;Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06020636G.html
0637G;SEQ06020637G;Contrat première embauche;Repentin;Thierry;M.;Savoie;SOC;;2006-02-24;Emploi;Emploi;Travail;http://www.senat.fr/questions/base/2006/qSEQ06020637G.html
0638G;SEQ06020638G;Hausse de la fiscalité locale;Longuet;Gérard;M.;Meuse;UMP;;2006-02-24;Collectivités territoriales;Collectivités territoriales;Collectivités territoriales,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06020638G.html
0639G;SEQ06020639G;Contrat première embauche;Gautier;Charles;M.;Loire-Atlantique;SOC;;2006-02-24;Emploi et travail;Emploi et travail;Travail;http://www.senat.fr/questions/base/2006/qSEQ06020639G.html
0640G;SEQ06020640G;Bilan du comité sécheresse;Dulait;André;M.;Deux-Sèvres;UMP;;2006-02-24;Écologie;Écologie;Environnement;http://www.senat.fr/questions/base/2006/qSEQ06020640G.html
0641G;SEQ06030641G;Contrat première embauche (CPE);Godefroy;Jean-Pierre;M.;Manche;SOC;;2006-03-10;Premier ministre;Emploi;Travail,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06030641G.html
0642G;SEQ06030642G;Stratégie nationale industrielle de développement des biocarburants;Férat;Françoise;Mme;Marne;UC-UDF;;2006-03-10;Industrie;Industrie;Énergie;http://www.senat.fr/questions/base/2006/qSEQ06030642G.html
0643G;SEQ06030643G;Politique sociale du Gouvernement et CPE;Borvo Cohen-Seat;Nicole;Mme;Paris;CRC;;2006-03-10;Premier ministre;Premier ministre;Travail,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06030643G.html
0644G;SEQ06030644G;Marchés publics et PME;Mouly;Georges;M.;Corrèze;RDSE;;2006-03-10;Économie;Économie;PME, commerce et artisanat,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06030644G.html
0645G;SEQ06030645G;Fusion Gaz de France-Suez;Revol;Henri;M.;Côte-d'Or;UMP;-A;2006-03-10;Économie;Économie;Énergie,Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06030645G.html
0646G;SEQ06030646G;Conséquences de la grippe aviaire sur la filière avicole;Boyer;Yolande;Mme;Finistère;SOC;;2006-03-10;Emploi et travail;Industrie;Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06030646G.html
0647G;SEQ06030647G;Gestion des fonds structurels européens dans le cadre des pôles de compétitivité;Huré;Benoît;M.;Ardennes;UMP;;2006-03-10;Collectivités territoriales;Collectivités territoriales;Collectivités territoriales,Union européenne,Aménagement du territoire;http://www.senat.fr/questions/base/2006/qSEQ06030647G.html
0648G;SEQ06030648G;Réglementation relative à la détention de véhicules militaires de collection;Henneron;Françoise;Mme;Pas-de-Calais;UMP;;2006-03-10;Collectivités territoriales;Collectivités territoriales;Police et sécurité;http://www.senat.fr/questions/base/2006/qSEQ06030648G.html
0649G;SEQ06030649G;Indemnisation exceptionnelle des dommages aux bâtiments causés par la sécheresse en 2003;Béteille;Laurent;M.;Essonne;UMP;;2006-03-10;Collectivités territoriales;Collectivités territoriales;Collectivités territoriales;http://www.senat.fr/questions/base/2006/qSEQ06030649G.html
0650G;SEQ06030650G;Fusion Gaz de France-Suez;Pastor;Jean-Marc;M.;Tarn;SOC;;2006-03-10;Économie;Économie;Énergie,Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06030650G.html
0651G;SEQ06030651G;Avenir du lundi de Pentecôte;Boyer;Jean;M.;Haute-Loire;UC-UDF;;2006-03-31;Sécurité sociale;Sécurité sociale;Pouvoirs publics et Constitution,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06030651G.html
0652G;SEQ06030652G;CPE;Muzeau;Roland;M.;Hauts-de-Seine;CRC;;2006-03-31;Premier ministre;Emploi;Travail,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06030652G.html
0653G;SEQ06030653G;Difficultés de la filière viticole;Delfau;Gérard;M.;Hérault;RDSE;;2006-03-31;Agriculture;Agriculture;Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06030653G.html
0654G;SEQ06030654G;Blocage des universités;de Rohan;Josselin;M.;Morbihan;UMP;;2006-03-31;Éducation;Éducation;Société,Éducation;http://www.senat.fr/questions/base/2006/qSEQ06030654G.html
0655G;SEQ06030655G;CPE;Frimat;Bernard;M.;Nord;SOC;;2006-03-31;Premier ministre;Emploi et travail;Questions sociales et santé,Travail;http://www.senat.fr/questions/base/2006/qSEQ06030655G.html
0656G;SEQ06030656G;Rapprochement des Caisses d'épargne et des Banques populaires;Longuet;Gérard;M.;Meuse;UMP;;2006-03-31;Économie;Économie;Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06030656G.html
0657G;SEQ06030657G;CPE;Bodin;Yannick;M.;Seine-et-Marne;SOC;;2006-03-31;Premier ministre;Emploi et travail;Travail,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06030657G.html
0658G;SEQ06030658G;Télévision numérique terrestre;Jarlier;Pierre;M.;Cantal;UMP;;2006-03-31;Culture;Culture;Culture;http://www.senat.fr/questions/base/2006/qSEQ06030658G.html
0659G;SEQ06030659G;Mixité sociale;Repentin;Thierry;M.;Savoie;SOC;;2006-03-31;Premier ministre;Emploi;Logement et urbanisme;http://www.senat.fr/questions/base/2006/qSEQ06030659G.html
0660G;SEQ06030660G;Droits à paiement unique et SAFER;Adnot;Philippe;M.;Aube;NI;;2006-03-31;Agriculture;Agriculture;Aménagement du territoire,Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06030660G.html
0661G;SEQ06040661G;Suite des négociations avec les syndicats;Bret;Robert;M.;Bouches-du-Rhône;CRC;;2006-04-14;Premier ministre;Emploi et travail;Éducation,Travail;http://www.senat.fr/questions/base/2006/qSEQ06040661G.html
0662G;SEQ06040662G;Nucléaire iranien;Othily;Georges;M.;Guyane;RDSE;;2006-04-14;Affaires étrangères;Affaires européennes;Affaires étrangères et coopération,Défense;http://www.senat.fr/questions/base/2006/qSEQ06040662G.html
0663G;SEQ06040663G;Tabac;Mortemousque;Dominique;M.;Dordogne;UMP;;2006-04-14;Santé et solidarités;Santé et solidarités;Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06040663G.html
0664G;SEQ06040664G;Remplacement du CPE;Godefroy;Jean-Pierre;M.;Manche;SOC;;2006-04-14;Premier ministre;Emploi et travail;Travail,Éducation;http://www.senat.fr/questions/base/2006/qSEQ06040664G.html
0665G;SEQ06040665G;Suites du CPE en matière de crise des institutions;Nogrix;Philippe;M.;Ille-et-Vilaine;UC-UDF;;2006-04-14;Premier ministre;Emploi et travail;Éducation,Travail,Pouvoirs publics et Constitution;http://www.senat.fr/questions/base/2006/qSEQ06040665G.html
0666G;SEQ06040666G;La Palestine et le Hamas;Ferrand;André;M.;Français établis hors de France;UMP;;2006-04-14;Affaires étrangères;Affaires européennes;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06040666G.html
0667G;SEQ06040667G;Transfert des routes aux départements;Courrière;Raymond;M.;Aude;SOC;;2006-04-14;Intérieur;Aménagement du territoire;Aménagement du territoire,Transports,Collectivités territoriales;http://www.senat.fr/questions/base/2006/qSEQ06040667G.html
0668G;SEQ06040668G;Organisation mondiale du commerce (OMC);Vasselle;Alain;M.;Oise;UMP;;2006-04-14;Agriculture;Agriculture;Affaires étrangères et coopération,Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06040668G.html
0669G;SEQ06040669G;Difficultés financières des hôpitaux;Boulaud;Didier;M.;Nièvre;SOC;;2006-04-14;Santé et solidarités;Santé et solidarités;Questions sociales et santé,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06040669G.html
0670G;SEQ06040670G;Réglementation des brocantes;Poniatowski;Ladislas;M.;Eure;UMP;-R;2006-04-14;Petites et moyennes entreprises;Relations avec le Parlement;PME, commerce et artisanat;http://www.senat.fr/questions/base/2006/qSEQ06040670G.html
0671G;SEQ06050671G;Logement en Guadeloupe;Marsin;Daniel;M.;Guadeloupe;RDSE;;2006-05-05;Emploi;Outre-mer;Outre-mer,Logement et urbanisme;http://www.senat.fr/questions/base/2006/qSEQ06050671G.html
0672G;SEQ06050672G;Bilan des dégâts dans les universités;Billard;Joël;M.;Eure-et-Loir;UMP;;2006-05-05;Enseignement supérieur;Enseignement supérieur;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06050672G.html
0673G;SEQ06050673G;Affaire Clearstream;Mermaz;Louis;M.;Isère;SOC;;2006-05-05;Premier ministre;Premier ministre;Pouvoirs publics et Constitution;http://www.senat.fr/questions/base/2006/qSEQ06050673G.html
0674G;SEQ06050674G;Taxe sur les véhicules de société;Arthuis;Jean;M.;Mayenne;UC-UDF;;2006-05-05;Budget;Budget;PME, commerce et artisanat,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06050674G.html
0675G;SEQ06050675G;Politique économique de la France;Billout;Michel;M.;Seine-et-Marne;CRC;;2006-05-05;Premier ministre;Économie;Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06050675G.html
0676G;SEQ06050676G;Les relations entre la France et Israël et la francophonie;Richert;Philippe;M.;Bas-Rhin;UMP;;2006-05-05;Coopération;Coopération;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06050676G.html
0677G;SEQ06050677G;Politique de l'immigration;Dreyfus-Schmidt;Michel;M.;Territoire de Belfort;SOC;;2006-05-05;Intérieur;Aménagement du territoire;Police et sécurité;http://www.senat.fr/questions/base/2006/qSEQ06050677G.html
0678G;SEQ06050678G;Situation au Tchad;del Picchia;Robert;M.;Français établis hors de France;UMP;;2006-05-05;Coopération;Coopération;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06050678G.html
0679G;SEQ06050679G;Sorties illicites d'enfants du territoire national;Garriaud-Maylam;Joëlle;Mme;Français établis hors de France;UMP;;2006-05-05;Justice;Coopération;Affaires étrangères et coopération,Justice,Traités et conventions,Famille;http://www.senat.fr/questions/base/2006/qSEQ06050679G.html
0680G;SEQ06050680G;Violences urbaines;Boulaud;Didier;M.;Nièvre;SOC;;2006-05-05;Intérieur;Aménagement du territoire;Police et sécurité;http://www.senat.fr/questions/base/2006/qSEQ06050680G.html
0681G;SEQ06050681G;Passeport biométrique;Cantegrit;Jean-Pierre;M.;Français établis hors de France;UMP;;2006-05-19;Intérieur;Aménagement du territoire;Police et sécurité,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06050681G.html
0682G;SEQ06050682G;Situation de la SOGERMA;Madrelle;Philippe;M.;Gironde;SOC;;2006-05-19;Premier ministre;Emploi et travail;Questions sociales et santé,Entreprises,Travail;http://www.senat.fr/questions/base/2006/qSEQ06050682G.html
0683G;SEQ06050683G;Fichier des délinquants sexuels;Zocchetto;François;M.;Mayenne;UC-UDF;;2006-05-19;Justice;Justice;Justice;http://www.senat.fr/questions/base/2006/qSEQ06050683G.html
0684G;SEQ06050684G;Situation de la SOGERMA;Beaufils;Marie-France;Mme;Indre-et-Loire;CRC;;2006-05-19;Économie;Industrie;Travail,Entreprises,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06050684G.html
0685G;SEQ06050685G;Chèque emploi service universel;Mouly;Georges;M.;Corrèze;RDSE;;2006-05-19;Emploi et travail;Emploi et travail;Travail;http://www.senat.fr/questions/base/2006/qSEQ06050685G.html
0686G;SEQ06050686G;Problème des orientations dans les universités;Bourdin;Joël;M.;Eure;UMP;;2006-05-19;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06050686G.html
0687G;SEQ06050687G;Impact sur l'image de la France du projet de loi relatif à l'immigration;Tasca;Catherine;Mme;Yvelines;SOC;;2006-05-19;Affaires étrangères;Affaires étrangères;Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06050687G.html
0688G;SEQ06050688G;Lutte contre la récidive des délinquants sexuels;Rozier;Janine;Mme;Loiret;UMP;;2006-05-19;Justice;Justice;Justice;http://www.senat.fr/questions/base/2006/qSEQ06050688G.html
0689G;SEQ06050689G;Protection de l'enfance;Campion;Claire-Lise;Mme;Essonne;SOC;;2006-05-19;Premier ministre;Sécurité sociale;Justice,Famille;http://www.senat.fr/questions/base/2006/qSEQ06050689G.html
0690G;SEQ06050690G;Lutte contre la toxicomanie;Retailleau;Bruno;M.;Vendée;NI;;2006-05-19;Santé et solidarités;Sécurité sociale;Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06050690G.html
0691G;SEQ06060691G;Désindustrialisation de Nevers;Signé;René-Pierre;M.;Nièvre;SOC;;2006-06-09;Emploi et travail;Emploi et travail;Travail,Aménagement du territoire;http://www.senat.fr/questions/base/2006/qSEQ06060691G.html
0692G;SEQ06060692G;Euronext;Pozzo di Borgo;Yves;M.;Paris;UC-UDF;;2006-06-09;Économie;Économie;Union européenne,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06060692G.html
0693G;SEQ06060693G;Assurance chômage des intermittents;Ralite;Jack;M.;Seine-Saint-Denis;CRC;;2006-06-09;Emploi;Emploi et travail;Pouvoirs publics et Constitution,Culture,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06060693G.html
0694G;SEQ06060694G;Circulation des armes dans les écoles;Othily;Georges;M.;Guyane;RDSE;;2006-06-09;Intérieur;Collectivités territoriales;Police et sécurité,Éducation;http://www.senat.fr/questions/base/2006/qSEQ06060694G.html
0695G;SEQ06060695G;Organisation de Technival;de Rohan;Josselin;M.;Morbihan;UMP;;2006-06-09;Collectivités territoriales;Collectivités territoriales;Collectivités territoriales;http://www.senat.fr/questions/base/2006/qSEQ06060695G.html
0696G;SEQ06060696G;Hôpitaux publics en milieu rural;Alquier;Jacqueline;Mme;Tarn;SOC;;2006-06-09;Santé et solidarités;Santé et solidarités;Questions sociales et santé,Aménagement du territoire;http://www.senat.fr/questions/base/2006/qSEQ06060696G.html
0697G;SEQ06060697G;Plan emploi seniors;César;Gérard;M.;Gironde;UMP;;2006-06-09;Emploi et travail;Emploi et travail;Travail,Société;http://www.senat.fr/questions/base/2006/qSEQ06060697G.html
0698G;SEQ06060698G;Tabagisme;Yung;Richard;M.;Français établis hors de France;SOC;;2006-06-09;Santé et solidarités;Santé et solidarités;Questions sociales et santé,Société;http://www.senat.fr/questions/base/2006/qSEQ06060698G.html
0699G;SEQ06060699G;Gens du voyage;Carle;Jean-Claude;M.;Haute-Savoie;UMP;;2006-06-09;Collectivités territoriales;Collectivités territoriales;Collectivités territoriales,Logement et urbanisme;http://www.senat.fr/questions/base/2006/qSEQ06060699G.html
0700G;SEQ06060700G;Traitements des déchets en Guadeloupe;Michaux-Chevry;Lucette;Mme;Guadeloupe;UMP;;2006-06-09;Écologie;Écologie;Environnement,Outre-mer;http://www.senat.fr/questions/base/2006/qSEQ06060700G.html
0701G;SEQ06060701G;Situation d'EADS;Gautier;Gisèle;Mme;Loire-Atlantique;UMP;;2006-06-30;Économie;Économie;Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06060701G.html
0702G;SEQ06060702G;Enfants sans papiers;Borvo Cohen-Seat;Nicole;Mme;Paris;CRC;;2006-06-30;Intérieur;Collectivités territoriales;Famille,Société,Police et sécurité,Affaires étrangères et coopération;http://www.senat.fr/questions/base/2006/qSEQ06060702G.html
0703G;SEQ06060703G;Émergence de nouveaux virus et grippe aviaire;Barbier;Gilbert;M.;Jura;RDSE;;2006-06-30;Santé et solidarités;Santé et solidarités;Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06060703G.html
0704G;SEQ06060704G;Aides aux viticulteurs;Mortemousque;Dominique;M.;Dordogne;UMP;;2006-06-30;Agriculture;Relations avec le Parlement;Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06060704G.html
0705G;SEQ06060705G;Les gouvernances d'entreprise;Marc;François;M.;Finistère;SOC;;2006-06-30;Économie;Économie;Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06060705G.html
0706G;SEQ06060706G;"""Charte service public""";Fournier;Bernard;M.;Loire;UMP;;2006-06-30;Aménagement du territoire;Aménagement du territoire;Aménagement du territoire;http://www.senat.fr/questions/base/2006/qSEQ06060706G.html
0707G;SEQ06060707G;Risques liés à l'exposition à l'amiante;Blandin;Marie-Christine;Mme;Nord;SOC;-R;2006-06-30;Premier ministre;Emploi et travail;Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06060707G.html
0708G;SEQ06060708G;Ouverture des magasins le dimanche;Karoutchi;Roger;M.;Hauts-de-Seine;UMP;;2006-06-30;Petites et moyennes entreprises;Petites et moyennes entreprises;PME, commerce et artisanat;http://www.senat.fr/questions/base/2006/qSEQ06060708G.html
0709G;SEQ06060709G;Mesures anti tsunami;Laufoaulu;Robert;M.;Iles Wallis et Futuna;UMP;-R;2006-06-30;Écologie;Écologie;Environnement,Outre-mer;http://www.senat.fr/questions/base/2006/qSEQ06060709G.html
0710G;SEQ06060710G;Suppressions d'emplois dans la fonction publique;Bodin;Yannick;M.;Seine-et-Marne;SOC;;2006-06-30;Éducation;Éducation;Éducation,Fonction publique;http://www.senat.fr/questions/base/2006/qSEQ06060710G.html
0711G;SEQ06100711G;Privatisation de GDF;Coquelle;Yves;M.;Pas-de-Calais;CRC;;2006-10-06;Économie;Économie;Économie et finances, fiscalité,Énergie;http://www.senat.fr/questions/base/2006/qSEQ06100711G.html
0712G;SEQ06100712G;Méthode d'apprentissage de la lecture;Seillier;Bernard;M.;Aveyron;RDSE;;2006-10-06;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06100712G.html
0713G;SEQ06100713G;Surpopulation carcérale en Polynésie;Flosse;Gaston;M.;Polynésie française;UMP;;2006-10-06;Justice;Justice;Outre-mer,Justice;http://www.senat.fr/questions/base/2006/qSEQ06100713G.html
0714G;SEQ06100714G;Privatisation de GDF;Courteau;Roland;M.;Aude;SOC;;2006-10-06;Économie;Industrie;Économie et finances, fiscalité,Énergie;http://www.senat.fr/questions/base/2006/qSEQ06100714G.html
0715G;SEQ06100715G;Réglementation des OGM;Détraigne;Yves;M.;Marne;UC-UDF;;2006-10-06;Enseignement supérieur;Enseignement supérieur;Recherche, sciences et techniques,Agriculture et pêche;http://www.senat.fr/questions/base/2006/qSEQ06100715G.html
0716G;SEQ06100716G;"Affaire ""Gettliffe""";Houel;Michel;M.;Seine-et-Marne;UMP;;2006-10-06;Affaires européennes;Affaires européennes;Affaires étrangères et coopération,Famille;http://www.senat.fr/questions/base/2006/qSEQ06100716G.html
0717G;SEQ06100717G;Hausse des prélèvements obligatoires;Miquel;Gérard;M.;Lot;SOC;;2006-10-06;Économie;Économie;Collectivités territoriales,Économie et finances, fiscalité;http://www.senat.fr/questions/base/2006/qSEQ06100717G.html
0718G;SEQ06100718G;Scolarité des jeunes;Dassault;Serge;M.;Essonne;UMP;;2006-10-06;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06100718G.html
0719G;SEQ06100719G;Résultats de la politique de sécurité;Collombat;Pierre-Yves;M.;Var;SOC;;2006-10-06;Intérieur;Aménagement du territoire;Police et sécurité;http://www.senat.fr/questions/base/2006/qSEQ06100719G.html
0720G;SEQ06100720G;Installation illicite de gens du voyage;Desmarescaux;Sylvie;Mme;Nord;NI;;2006-10-06;Intérieur;Aménagement du territoire;Collectivités territoriales,Police et sécurité;http://www.senat.fr/questions/base/2006/qSEQ06100720G.html
0721G;SEQ06100721G;Violences urbaines et agressions de policiers;Baylet;Jean-Michel;M.;Tarn-et-Garonne;RDSE;;2006-10-20;Intérieur;Relations avec le Parlement;Police et sécurité;http://www.senat.fr/questions/base/2006/qSEQ06100721G.html
0722G;SEQ06100722G;Décharge horaire des enseignants;de Richemont;Henri;M.;Charente;UMP;;2006-10-20;Éducation;Éducation;Éducation;http://www.senat.fr/questions/base/2006/qSEQ06100722G.html
0723G;SEQ06100723G;GDF;Courteau;Roland;M.;Aude;SOC;;2006-10-20;Économie;Industrie;Économie et finances, fiscalité,Énergie,Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06100723G.html
0724G;SEQ06100724G;Restructuration d'Airbus;Dubois;Daniel;M.;Somme;UC-UDF;;2006-10-20;Économie;Économie;Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06100724G.html
0725G;SEQ06100725G;Situation de l'hôpital public;Fischer;Guy;M.;Rhône;CRC;;2006-10-20;Santé et solidarités;Sécurité sociale;Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06100725G.html
0726G;SEQ06100726G;Scandale des ASSEDIC;Humbert;Jean-François;M.;Doubs;UMP;;2006-10-20;Emploi et travail;Emploi et travail;Sécurité sociale,Questions sociales et santé;http://www.senat.fr/questions/base/2006/qSEQ06100726G.html
0727G;SEQ06100727G;EADS;Auban;Bertrand;M.;Haute-Garonne;SOC;;2006-10-20;Économie;Économie;Entreprises;http://www.senat.fr/questions/base/2006/qSEQ06100727G.html
