X,Y,FID,nombre,localisati,secteur,etat,source,export,controle
55.412261888,-20.894196833,287,1,Chemin Commins arrêt Ruisseau Blanc,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.410779362,-20.891667863,288,1,Chemin Commins arrêt Cotons,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4140175640001,-20.8939258799999,289,1,Chemin du Ruisseau Blanc plt.noire entré terrain,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4145300320001,-20.8936668659999,290,1,Chemin du Ruisseau Blanc arrêt Grevilléas le long,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4172492,-20.89440867,291,1,Route des Bougainvillées arrêt des ?,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4167352,-20.898149061,292,1,Route des Goyaviers arrêt terre rouge,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4334499130001,-20.8860811509999,293,1,Chemin de la Vigie point de vue,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.433489416,-20.885710789,294,1,Chemin de la Vigie point de vue,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.426159586,-20.884893625,295,1,Chemin Neuf arrêt des Liserons,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.420838367,-20.8874102569999,296,1,Chemin des Manguiers espace socio éducatif,La Montagne,Taggé,CINOR,26/08/2019,04/09/01
55.4128775250001,-20.8874441199999,297,2,"Chemin Commins arrêt Jams-Rosa, abris bus",La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.410433745,-20.888331958,298,2,Chemin Commins arrêt Moulin Cader,La Montagne,vpHSdesc.,CINOR,26/08/2019,04/09/01
55.4213099500001,-20.8910028669999,299,1,Route des Palmiers arrêt Bougainvilées,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.4193388460001,-20.892298437,300,1,Route des Bougainvilées arrêt des Alizés,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.422887061,-20.88904051,301,2,"Chemin Bailly, école, petit marché",La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.423123392,-20.8895220819999,302,2,Route des Palmiers Mairie,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.423478092,-20.8893370119999,303,1,"Route des Palmiers arrêt mairie, cabine Tel.",La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.423675254,-20.8890408249999,304,1,Route des Palmiers Pompier,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.423990632,-20.88896686,305,1,Route des Palmiers Boutique,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.424739748,-20.88811534,306,1,Chemin Hautbois la Poste,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.424621754,-20.887337487,307,1,Chemin Hautbois supermarché Champion,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.425251517,-20.889633929,308,2,Route des Palmiers arrêt église,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4259215960001,-20.8892638679999,309,1,Route des Palmiers école St.Gabriel,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.429547299,-20.889228021,310,1,Route des Eucalyptus arrêt Palmiers,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.430572156,-20.8885986939999,311,0,Route des Eucalyptus arrêt Eucalyptus,La Montagne,HS,CINOR,26/08/2019,04/09/01
55.43096645,-20.8881173199999,312,2,Route des Eucalyptus arrêt Piton Trésor,La Montagne,plRAS vpHS,CINOR,26/08/2019,04/09/01
55.4296268310001,-20.8872280739999,313,1,Chemin de la Vièrge terminus,La Montagne,RAS,CINOR,26/08/2019,04/09/01
55.4471855880001,-20.878901334,314,1,Rue Lucien Gasparin,Saint-Denis Centre,HS,CINOR,26/08/2019,26/09/01
55.4473436070001,-20.879723713,315,1,Rue Lucien Gasparin,Saint-Denis Centre,HS,CINOR,26/08/2019,26/09/01
55.4475386170001,-20.881744603,316,1,Rue Lucien Gasparin,Saint-Denis Centre,HS,CINOR,26/08/2019,26/09/01
55.447491497,-20.8838879539999,317,1,Rue Lucien Gasparin,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4473799130001,-20.883765443,318,1,Rue Lucien Gasparin,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.446979302,-20.8848764209999,319,1,Rue Lucien Gasparin,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.447100392,-20.8847102249999,320,1,Rue Lucien Gasparin,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
55.4471655450001,-20.8848239129999,321,1,Rue Lucien Gasparin,Saint-Denis Centre,RAS,CINOR,26/08/2019,26/09/01
