oid,code,libelle,surf_m2
97473,2111,Terres arables,22331
97474,2111,Terres arables,2045
97475,2111,Terres arables,27084
97476,2111,Terres arables,67361
97480,2111,Terres arables,204014
97481,2111,Terres arables,57967
97482,2111,Terres arables,40698
97483,2111,Terres arables,81117
97484,2111,Terres arables,28643
97485,2111,Terres arables,271540
97486,2111,Terres arables,8954
97487,2111,Terres arables,96169
97488,2111,Terres arables,5622
97489,2111,Terres arables,36959
97490,2111,Terres arables,11407
97491,2111,Terres arables,130451
97492,2111,Terres arables,163080
97493,2111,Terres arables,82913
97495,2111,Terres arables,495154
97496,2111,Terres arables,93577
97497,2111,Terres arables,222815
97501,2111,Terres arables,26296
97502,2111,Terres arables,5770
97503,2111,Terres arables,275685
97504,2111,Terres arables,12115
97505,2111,Terres arables,85716
97506,2111,Terres arables,6643
97507,2111,Terres arables,5119
97508,2111,Terres arables,10254
97509,2111,Terres arables,203241
97510,2111,Terres arables,71924
98575,2111,Terres arables,14416
97498,2111,Terres arables,6014792
97499,2111,Terres arables,30143
97500,2111,Terres arables,40210
97511,2111,Terres arables,202095
97512,2111,Terres arables,6952
97513,2111,Terres arables,255239
97514,2111,Terres arables,20834
97515,2111,Terres arables,24827
97516,2111,Terres arables,2644213
97517,2111,Terres arables,96234
97518,2111,Terres arables,21835
98588,2111,Terres arables,5904
97519,2111,Terres arables,25583
97520,2111,Terres arables,20935
97521,2111,Terres arables,209818
97522,2111,Terres arables,10531
97523,2111,Terres arables,14869
97524,2111,Terres arables,1340975
97525,2111,Terres arables,21424
97526,2111,Terres arables,139039
97527,2111,Terres arables,7978
97528,2111,Terres arables,4641
97529,2111,Terres arables,32544
99127,2111,Terres arables,12495
97530,2111,Terres arables,10948
97531,2111,Terres arables,17750
97532,2111,Terres arables,39706
97533,2111,Terres arables,5559
97534,2111,Terres arables,125693
97535,2111,Terres arables,818460
97536,2111,Terres arables,1483104
97537,2111,Terres arables,5624
97538,2111,Terres arables,24949
97539,2111,Terres arables,11793
108578,2111,Terres arables,5260
97540,2111,Terres arables,40259
97541,2111,Terres arables,21200
97542,2111,Terres arables,48955
97543,2111,Terres arables,78079
97544,2111,Terres arables,8324
97545,2111,Terres arables,18500
97546,2111,Terres arables,59339
97547,2111,Terres arables,12990
97548,2111,Terres arables,291482
97549,2111,Terres arables,173380
97550,2111,Terres arables,22718
97551,2111,Terres arables,5089
97552,2111,Terres arables,484646
97553,2111,Terres arables,37464
97554,2111,Terres arables,14316
97555,2111,Terres arables,17678
97556,2111,Terres arables,307073
97557,2111,Terres arables,4235
97558,2111,Terres arables,194471
97559,2111,Terres arables,116816
97560,2111,Terres arables,61755
97561,2111,Terres arables,80168
97562,2111,Terres arables,252911
97563,2111,Terres arables,16759
97564,2111,Terres arables,25575
97565,2111,Terres arables,96324
100491,2111,Terres arables,9883
97566,2111,Terres arables,57592
97567,2111,Terres arables,28317
97568,2111,Terres arables,96457
97569,2111,Terres arables,8398
97570,2111,Terres arables,590686
97571,2111,Terres arables,88474
97572,2111,Terres arables,324679
97573,2111,Terres arables,242801
97594,2111,Terres arables,101042
