Maisons des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;14H00;17H00;AFFAIRES MILITAIRES;PERMANENCE;SNEMM06 - SOCIETE NATIONALE  D'ENTRAIDE DE LA MEDAILLE MILITAIRE - Union Dép. des AM et Monaco
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;UNSOR - UNION NATIONALE DES SOUS-OFFICIERS EN RETRAITE - SECTION NICE ET BANLIEUE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;15H00;18H00;AFFAIRES MILITAIRES;PERMANENCE;CESEGUMO - CENTRE D'ETUDES SUR LA SECONDE GUERRE MONDIALE 
DU COMBATTANT et des ASSOCIATIONS PATRIOTIQUES;23/11/2018;16H00;19H00;AFFAIRES MILITAIRES;PERMANENCE;UNP - UNION NATIONALE DES PARACHUTISTES DE NICE 
GARIBALDI;19/11/2018;09H00;13H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;19/11/2018;09H00;11H00;ACTIVITE BIEN ETRE;COURS;QI GONG & SANTE
GARIBALDI;19/11/2018;09H00;14H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;19/11/2018;10H00;13H00;SPECTACLE VIVANT;COURS;LA FABRIQUE DES MIRAGES
GARIBALDI;19/11/2018;12H00;14H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
GARIBALDI;19/11/2018;12H00;14H00;ACTIVITE BIEN ETRE;COURS;MANGALAM
GARIBALDI;19/11/2018;13H00;15H00;CULTURE;COURS;ANECA - ASSOCIATION NICE ESPAGNE COTE D'AZUR
GARIBALDI;19/11/2018;14H00;16H00;SOCIAL;REUNION;ASSOCIATION ESPOIR DE VIVRE
GARIBALDI;19/11/2018;14H00;17H00;DANSE ;COURS;AZUR BALLET
GARIBALDI;19/11/2018;14H00;16H00;CULTURE;COURS;COMMUNAUTE GRECQUE DES ALPES-MARITIMES CGDAM
GARIBALDI;19/11/2018;15H00;17H00;CULTURE;CONFERENCE;VU PAS VU
GARIBALDI;19/11/2018;16H00;18H00;COURS DE LANGUE;COURS;ASSOCIATION CULTURELLE ET MUSICALE LES CHORALINES 06
GARIBALDI;19/11/2018;16H00;18H00;CULTURE;COURS;FRANCE ETATS UNIS NICE
GARIBALDI;19/11/2018;18H00;20H00;ACTIVITE BIEN ETRE;COURS;YOGADOR
GARIBALDI;19/11/2018;18H00;21H00;ECONOMIE;REUNION;LES AMIS DE NICE COOP
GARIBALDI;19/11/2018;18H00;20H00;COURS DE LANGUE;COURS;MANABI
GARIBALDI;19/11/2018;18H00;19H00;SANTE;COURS;ASSOCIATION ANTHROPOSOPHIQUE DE NICE 
GARIBALDI;19/11/2018;19H00;21H00;COURS DE LANGUE;COURS;LET'S SPEAK IN ENGLISH
GARIBALDI;19/11/2018;19H00;21H00;SPORT;COURS;FIT'4 U
GARIBALDI;20/11/2018;09H00;11H00;ORGANISME PUBLIC;ATELIER;MAIRIE DE NICE
GARIBALDI;20/11/2018;09H00;12H00;ENSEIGNEMENT;REUNION;DDEN - UNION DES DELEGUES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DES ALPES-MARITIMES
GARIBALDI;20/11/2018;09H00;12H00;SOCIAL;PERMANENCE;AAVAA - ASSOCIATION D'ASSISTANCE AUX VICTIMES D'ACCIDENTS ET D'AGRESSIONS
GARIBALDI;20/11/2018;10H00;12H00;ACTIVITE BIEN ETRE;COURS;L'ESPACE DES POSSIBLES
GARIBALDI;20/11/2018;10H00;12H00;SANTE;ATELIER;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
GARIBALDI;20/11/2018;14H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;20/11/2018;14H00;16H00;MUSIQUE;REPETITION;JUPITER
GARIBALDI;20/11/2018;14H00;17H00;SANTE;ATELIER;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;20/11/2018;14H00;17H00;THEATRE;COURS;SCENE OUVERTE COMPAGNIE
GARIBALDI;20/11/2018;14H00;17H00;SANTE;ATELIER;GROUPEMENT DE PARKINSONIENS DES ALPES-MARITIMES ET PACA - GPAM PACA
GARIBALDI;20/11/2018;14H00;17H00;ORGANISME PUBLIC;ATELIER;DRH - DIRECTION DES RESSOURCES HUMAINES
GARIBALDI;20/11/2018;18H00;20H00;ACTIVITE BIEN ETRE;COURS;VAYOGA-CULTURE ET YOGA
GARIBALDI;20/11/2018;18H00;19H00;SPORT;COURS;GYMNASTIQUE VOLONTAIRE CORVESY GV CORVESY
