Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Associations
NICE-CENTRE;19/05/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;19/05/2018;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;19/05/2018;14H00;16H00;CULTURE;COURS;OKINAWA
NICE-CENTRE;19/05/2018;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
NICE-CENTRE;19/05/2018;14H00;18H00;CULTURE;COURS;CARACTERE
NICE-CENTRE;19/05/2018;14H00;16H00;CULTURE;COURS;FRANCE RUSSIE
NICE-EST SAINT ROCH;14/05/2018;09H00;12H00;JEUNESSE;COURS;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;14/05/2018;09H00;17H00;COURS DE LANGUE;PERMANENCE;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-EST SAINT ROCH;14/05/2018;09H00;17H00;ENSEIGNEMENT;REUNION;CODES 06 - COMITE DEPARTEMENTAL D'EDUCATION POUR LA SANTE
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;14/05/2018;09H00;12H00;SENIORS;COURS;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;14/05/2018;09H00;17H00;COURS DE LANGUE;PERMANENCE;AMICALE DES POLONAIS NICE - COTE D'AZUR
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;14/05/2018;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;14/05/2018;10H00;13H00;ACTIVITE BIEN ETRE;ATELIER;QUIETUDE
NICE-EST SAINT ROCH;14/05/2018;10H00;18H00;SOCIAL;REUNION;CAPT EMPLOI SERVICES
NICE-EST SAINT ROCH;14/05/2018;14H00;17H00;SENIORS;COURS;POIVRE ET SEL
NICE-EST SAINT ROCH;14/05/2018;14H00;17H00;POPULATION;REUNION;ASSOCIATION POUR LA PROTECTION DE LA DIGNITE HUMAINE 
NICE-EST SAINT ROCH;14/05/2018;16H00;19H00;CHANT;COURS;COL CANTO
NICE-EST SAINT ROCH;14/05/2018;16H00;20H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
NICE-EST SAINT ROCH;14/05/2018;17H00;19H00;DANSE ;COURS;L'DANSE
NICE-EST SAINT ROCH;14/05/2018;17H00;19H00;ENSEIGNEMENT;COURS;CLUB EXCELLENCE 06
