OBJECTID,MOBILIER,ID_MOBILIE,COMMUNE,NOM_PARC,ACQUISITIO,TYPE,GlobalID
64,BANC,BN24,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",32327b4a-ba20-4148-8c96-36ffc973af98
65,BANC,BN30,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",58aa118e-d50d-4298-b992-570a930d1b04
66,BANC,BN11,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",4633de41-cbd8-4770-b565-c140dd9e9c99
67,BANC,BN10,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",bb0b6c5b-5120-4ff1-ae14-60e9cd43fc34
68,BANC,BN12,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",33bf8c12-dd81-4be0-9682-eeb41eca51b1
69,BANC,BN13,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",45a7918a-1e45-42da-a27c-2b3cd4b548d6
70,BANC,BN14,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",b34b0ee8-2c00-4dca-8e3d-d49655ae91ab
71,BANC,BN15,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",28773baa-f34b-4c1d-a270-437dd0697443
72,BANC,BN16,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",6d0494c7-6c04-40d5-961b-66347e0c1564
73,BANC,BN17,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",a32b1071-526b-4938-8656-1e68de4c16ce
74,BANC,BN18,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",08ae861a-c012-4814-9bbb-2be592a321e5
75,BANC,BN19,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",19d33650-9266-433f-81e4-4c53eb0f176a
76,BANC,BN20,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",13fb58d7-7806-4317-bea1-9e23170d6d92
77,BANC,BN21,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",4a6f0b2d-816d-4dff-aa29-794ac8d059b1
78,BANC,BN22,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",ab492b04-62c3-4eef-baa9-f6991471c826
79,BANC,BN36,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",4665c333-c5d0-4119-b4e2-89c3af11a3ca
80,BANC,BN35,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",8764fd76-4c95-40a5-919b-ec847e0df0da
81,BANC,BN34,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",7475b666-1d64-4484-81d4-68bfd1644ffe
82,BANC,BN33,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",f5b88c67-1303-4cc8-b95b-57f1147e4d50
83,BANC,BN32,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",fdd0ddbf-f946-4971-80bd-8fee69d8f36a
84,BANC,BN23,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois et acier, avec dossier lattes avec accoudoirs",d2cbe5ad-9ac0-432a-ac1c-50ccc3a0eada
85,BANC,BN38,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Bois, avec dossier 1 planche",84867794-ffba-4eed-bfe6-a4d26bde899b
86,POUBELLE,PB1,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,3da844ca-f8b0-4fbc-aa2e-c885a36dc26a
87,POUBELLE,PB2,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,afae8d0a-f1c6-49e7-a833-b1592ab626aa
88,POUBELLE,PB3,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,c83ba4f9-ecba-4449-a046-656f0a30998a
89,POUBELLE,PB4,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,9a163b68-d9d9-47c8-9133-6e1a9fafa1e6
90,POTEAU,PT1,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",3cdc0bad-94f3-4804-ae87-b71cbe5e38cb
91,POUBELLE,PB5,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,1c4c4ff0-d98c-4d37-ac35-716428529fb0
92,POTEAU,PT2,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",09cb6218-bdbe-4e03-9e9f-f3efff89326c
93,POUBELLE,PB6,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,3a9f0e3a-979d-4515-8526-1609b755e9aa
94,POUBELLE,PB7,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,c2cad97b-4263-445d-b397-cacb6da35665
95,POTEAU,PT3,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",227d4e34-ddc8-40eb-93b1-34029dbff86a
96,POUBELLE,PB8,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,9ce21750-9f59-4191-913e-df40c06a5af4
97,POUBELLE,PB9,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,3f5c0e36-7372-405f-a720-6e10ebe8de90
98,ABRI,AB1,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Sanitaires,af7f543f-c667-48a7-a531-63d2b750ce25
99,POTEAU,PT4,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",bc02a14a-030f-4094-8c2d-4937f9bf13bb
100,POUBELLE,PB10,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,5a7ec9f2-5d17-4bb4-81f8-698f7b825f0c
101,PASSERELLE,PA1,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Passerelle en bois avec garde corps en bois,1bb089ff-50f4-4b77-a497-9349acce1c62
102,POUBELLE,PB11,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,bfcb56aa-f2de-4740-992f-30746228e1d4
103,POUBELLE,PB12,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 50 litres,f38f4fe2-8848-48a3-b269-0d1b1f37e240
104,POUBELLE,PB13,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,7c6b56cc-001c-4e4e-8c69-d945446e67e3
105,POUBELLE,PB14,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,b485024c-269c-426b-b31a-f5575418b7ea
106,PASSERELLE,PA2,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Passerelle en bois avec garde corps en bois,8ebc5ba2-e55d-44a0-beb8-0d97f359a446
107,POUBELLE,PB15,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,ff6b34f0-ef72-48f9-a9c6-d9f2e5f6edee
108,POUBELLE,PB16,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,5b49ef7b-a7c5-43cd-8d9c-b994155bc5b2
109,POUBELLE,PB17,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,a8406154-cef3-460b-9abb-5d0855ca40cc
110,POUBELLE,PB18,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,Borne carrée 100 litres,5044aa93-b00f-47b5-a3f1-64b1bd345d27
111,POTEAU,PT5,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 12*12 cm, long 1 m",fb74ef05-d506-4e6a-b640-56b50a263c58
112,POTEAU,PT6,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau rond, diam 10 cm, long 1 m",7f729e26-b432-443c-85a6-de3a282069ab
113,BARRIERE,BR2,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Pivotante 4 m, 3 points d'appui",e612be27-59a3-4edc-b26f-07fc76530508
114,POTEAU,PT7,SULLY-SUR-LOIRE,Parc de Sully,Relevé terrain,"Poteau carré, 15*15 cm, long 1 m",da87315d-aaee-4582-87b9-e704bc2f5fdb
