code INSEE Departement,code INSEE commune,Commune brute,Adresse brute,Adresse formatee,Numero du bureau de vote,date,latitude,longitude
33,,GORNAC,MAIRIE 1,,,,44.5345,-0.343195
33,,MAURIAC,MAIRIE 1,,,,44.5345,-0.343195
33,,MERIGNAS,MAIRIE 1,,,,44.5345,-0.343195
33,,MOURENS,MAIRIE 1,,,,44.5345,-0.343195
33,,RUCH ,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-BRICE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-FELIX-DE-FONCAUDE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-HILAIRE-DU-BOIS,SALLE DE REUNION 1,,,,,
33,,SAINT-MARTIN-DE-LERM,SALLE DE REUNION 1,,,,,
33,,SAINT-MARTIN-DU-PUY,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-SULPICE-DE-POMMIERS,MAIRIE 1,,,,44.5345,-0.343195
33,,SAUVETERRE-DE-GUYENNE,CANTINE SCOLAIRE 1,,,,45.1604,-0.623048
33,,SAUVETERRE-DE-GUYENNE,CANTINE SCOLAIRE 2, Sauveterre-de-Guyenne,,,44.6928,-0.085669
33,,ARBIS,MAIRIE 1,,,,44.5345,-0.343195
33,,BAIGNEAUX,MAIRIE 1,,,,44.5345,-0.343195
33,,BELLEBAT,MAIRIE 1,,,,44.5345,-0.343195
33,,BELLEFOND,MAIRIE 1,,,,44.5345,-0.343195
33,,CANTOIS,MAIRIE 1,,,,44.5345,-0.343195
33,,CESSAC,MAIRIE 1,,,,44.5345,-0.343195
33,,COURPIAC,MAIRIE 1,,,,44.5345,-0.343195
33,,ESCOUSSANS,MAIRIE 1,,,,44.5345,-0.343195
33,,FALEYRAS,MAIRIE 1,,,,44.5345,-0.343195
33,,FRONTENAC,MAIRIE 1,,,,44.5345,-0.343195
33,,LADAUX ,MAIRIE 1,,,,44.5345,-0.343195
33,,LUGASSON,MAIRIE 1,,,,44.5345,-0.343195
33,,MARTRES,MAIRIE 1,,,,44.5345,-0.343195
33,,MONTIGNAC,MAIRIE 1,,,,44.5345,-0.343195
33,,ROMAGNE,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-GENIS-DU-BOIS,MAIRIE 1,,,,44.5345,-0.343195
33,,SAINT-PIERRE-DE-BAT,MAIRIE 1,,,,44.5345,-0.343195
33,,SOULIGNAC,MAIRIE 1,,,,44.5345,-0.343195
33,,TARGON,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,BOURIDEYS,MAIRIE 1,,,,,
33,,CAZALIS,MAIRIE 1,,,,,
33,,LUCMAU,MAIRIE 1,,,,,
33,,NOAILLAN,MAIRIE 1,,,,,
33,,POMPEJAC,MAIRIE 1,,,,,
33,,PRECHAC,SALLE MUNICIPALE ST PIERRE 1,Rue Cavelier De La Salle - 17310 St-Pierre,,,45.9404,-1.30077
33,,UZESTE,MAIRIE 1,,,,,
33,,VILLANDRAUT,MAIRIE 1,,,,,
33,,ARCINS,MAIRIE 1,,,,,
33,,ARSAC,RESTAURANT SCOLAIRE 1,,,,44.8822,-0.428207
33,,ARSAC,RESTAURANT SCOLAIRE 1,,,,44.8822,-0.428207
33,,AVENSAN,MAIRIE 1,,,,,
33,,BRACH,MAIRIE 1,,,,,
33,,CANTENAC,SALLE DE PORT SAINT AUBIN 1, Cantenac,,,45.0286,-0.654215
33,,CASTELNAU-DE-MEDOC,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,CASTELNAU-DE-MEDOC,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,CASTELNAU-DE-MEDOC,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,CUSSAC-FORT-MEDOC,MAIRIE 1,,,,,
33,,LABARDE,SALLE DU FOYER 1, Labarde,,,45.0164,-0.640329
33,,LACANAU,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,LACANAU,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,LACANAU,SALLE DES FETES 1,,,,45.1899,-0.649672
33,,LACANAU,SALLE POLYVALENTE L'ESCOURE 1, Lacanau,,,44.9782,-1.07795
33,,LACANAU,SALLE POLYVALENTE L'ESCOURE 1,,,,44.9782,-1.07795
33,,LAMARQUE,SALLE DES FETES 1, La Marque,,,29.3701,-94.9718
33,,LISTRAC-MEDOC,MAIRIE 1,,,,,
33,,LISTRAC-MEDOC,MAIRIE 1,,,,,
33,,MARGAUX ,MAIRIE 1,,,,,
33,,MOULIS-EN-MEDOC,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,LE PORGE,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,LE PORGE,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,SAINTE-HELENE,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,SAINTE-HELENE,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,SALAUNES,SALLE LA GARENNE 1, Salaunes,,,44.9365,-0.830354
33,,SAUMOS ,MAIRIE 1,,,,,
33,,SOUSSANS,SALLE POLYVALENTE 1,,,,45.1654,-0.65012
33,,LE TEMPLE,MAIRIE 1,,,,,
33,,BEGADAN,MAIRIE 1,,,,,
33,,BLAIGNAN,MAIRIE 1,,,,,
33,,CIVRAC-EN-MEDOC,MAIRIE 1,,,,,
33,,COUQUEQUES,MAIRIE 1,,,,,
33,,GAILLAN-EN-MEDOC,SALLE SOCIO EDUCATIVE 1, Gaillan-en-Médoc,,,45.3229,-0.956604
33,,GAILLAN-EN-MEDOC,SALLE SOCIO EDUCATIVE 2, Gaillan-en-Médoc,,,45.3229,-0.956604
33,,LESPARRE-MEDOC,SALLE DES FETES 1,,,,29.3701,-94.9718
33,,LESPARRE-MEDOC,SALLE DES FETES 2,,,,,
33,,LESPARRE-MEDOC,SALLE DES FETES DE ST TRELODY 3, Lesparre-Médoc,,,45.3059,-0.936195
