REF,ETUD,LOCA,REG,DPT,COM,INSEE,TICO,ADRS,STAT,AFFE,PPRO,DPRO,AUTR,SCLE,,,,,,,,,,,,,,,,,,,,,
PA00082948,recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel de Gérard,Fénelon (rue) 3,propriété d'une personne privée,,"Façade et toiture sur cour intérieure : inscription par arrêté du 25 février 1944 - Hôtel en totalité, à l'exception des parties modernes, son jardin et la maison dite maison Villate (cad. BH 153, 148) : inscription par arrêté du 26 novembre 1998 - La "" grande salle "" située au premier étage de l'aile est (cad. BH 153) : classement par arrêté du 18 janvier 2008",1944/02/25 : inscrit MH , 1998/11/26 : inscrit MH , 2008/01/18 : classé MH,,15e siècle , 16e siècle , 17e siècle,,,,,,,,,,,,,,,
PA00082947,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Immeuble,Consuls (rue des) 9,propriété d'une personne privée,,Façades et toitures sur rue : classement par arrêté du 18 août 1944,1944/08/18 : classé MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082946,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Immeuble,Consuls (rue des) 1 , Peyrats (rue) 1,propriété d'une personne privée,,"Porte gothique sur la rue Peyrats (cad. H 480, 481) : inscription par arrêté du 23 août 1946",1946/08/23 : inscrit MH,,16e siècle,,,,,,,,,,,,,,,,,,
PA00082945,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Immeuble,Cahors (rue de) 28,propriété d'une personne privée,,Portail , façades et toitures (cad. H 38) : inscription par arrêté du 4 décembre 1945,1945/12/04 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00082944,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Immeuble,Bouquerit (place de la) 1,propriété d'une personne privée,affecté à une association,Façade sur cour et la toiture : inscription par arrêté du 25 février 1944,1944/02/25 : inscrit MH,,14e siècle,,,,,,,,,,,,,,,,,,,
PA00082943,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Immeuble,Armes (rue des) 2,propriété d'une personne privée,,Façades et toitures : inscription par arrêté du 3 janvier 1944,1944/01/03 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082942,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel,Victor-Hugo (rue) 4,propriété d'une personne privée,,"Façade en retrait sur cour, toitures et porche d'entrée : inscription par arrêté du 15 février 1944",1944/02/15 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082941,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancien Hôtel de ville,Peyrou (place du),propriété de la commune,,Façade : classement par arrêté du 6 janvier 1904,1904/01/06 : classé MH,,15e siècle , 18e siècle,,,,,,,,,,,,,,,,,,
PA00082940,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel de ville,Liberté (place de la),propriété de la commune,,Façades et toitures : classement par arrêté du 11 avril 1947,1947/04/11 : classé MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00082939,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel de Montméjat,Jean-Jacques-Rousseau (rue) 9 , Toulouse (côte de) 6,propriété de la commune,,Façades et toitures : inscription par arrêté du 8 mars 1944,1944/03/08 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,
PA00082938,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel de Maleville dit Hôtel de Vienne (maison Renaissance),Minage (rue du) 3 ," Vieil-Hôpital (rue du) , anciennement Halles (place des)",propriété d'une personne privée,,Hôtel ou maison Renaissance : classement par liste de 1889,1889 : classé MH,,16e siècle,,,,,,,,,,,,,,,,,,
PA00082937,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel de Gisson,Magnanat (rue) 1,propriété d'une personne privée,,Façades et toitures y compris celles de la tour (cad. BH 186) : classement par arrêté du 26 septembre 1969,1969/09/26 : classé MH,,16e siècle,,,,,,,,,,,,,,,,,,,
PA00082936,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancien Hôtel de Génis,Présidial (rue du) 6,propriété d'une personne privée,,"Ensemble des façades sur la rue du Présidial, y compris l'ancien mur-terrasse à balustrade, le mur mitoyen côté Nord, la toiture en lauze en totalité (cad. H 414) : inscription par arrêté du 24 avril 1961",1961/04/24 : inscrit MH,,15e siècle , 17e siècle,,,,,,,,,,,,,,,,,,
PA00082935,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancien Hôtel-Dieu,Minage (rue du) 2 , Albéric-Cahuet (rue) , Mazels (rue des),propriété d'une personne privée,,Façades et toitures sur rues et sur cour , l'escalier avec la rampe en fer forgé ," les salles voûtées du rez-de-chaussée (cad. BI 357, 358) : inscription par arrêté du 15 février 1977",1977/02/15 : inscrit MH,,2e quart 17e siècle,,,,,,,,,,,,,,,
PA00082934,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôtel d'Anglars,"Eugène-Leroy (boulevard) , anciennement rue Manuel ", Calpranède (rue de la),propriété d'une société privée,,Hôtel d'Anglars : inscription par arrêté du 24 juin 1948,1948/06/24 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,
PA00082933,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Hôpital,Gambetta (rue) 30,propriété d'une association,,Le portail (cad. H 197) : inscription par arrêté du 23 août 1946 ," Les façades et les toitures, ainsi que l'escalier monumental avec sa rampe en fer forgé (cad. H 197) : inscription par arrêté du 21 septembre 1961",1946/08/23 : inscrit MH , 1961/09/21 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,
PA00082932,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancien Evêché,Tourny (rue),propriété de la commune,,Façade : inscription par arrêté du 6 janvier 1927,1927/01/06 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082931,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Vestiges de l'enceinte,Voltaire (boulevard) , Siège (rue du) ," Eugène-Leroy (boulevard) , anciennement Manuel (rue)",propriété d'une personne privée , propriété d'une société privée,,"Tour d'enceinte, 3 boulevard Voltaire : inscription par arrêté du 26 octobre 1944 "," Vestiges, 7, 8, 9, 11 boulevard Voltaire, 1, 3, 5, 7 rue Manuel et rue du Siège : inscription par arrêté du 7 mars 1945",1944/10/26 : inscrit MH , 1945/03/07 : inscrit MH,,14e siècle,,,,,,,,,,,,,,
PA00082930,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancienne église Sainte-Marie,,propriété de la commune,,Eglise Sainte-Marie (ancienne) : classement par arrêté du 12 octobre 1905,1905/10/12 : classé MH,,14e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA00082929,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Eglise de Temniac,,propriété de la commune,,Eglise de Temniac : classement par arrêté du 10 août 1920,1920/08/10 : classé MH,,12e siècle , 14e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA00082928,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Eglise de la Canéda,,propriété de la commune,,Eglise de la Canéda (cad. A 239) : inscription par arrêté du 1er mars 1962,1962/03/01 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA00082927,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Croix de la Bouquerie,Bouquerie (place de la),propriété de la commune,,Croix du 17e siècle : inscription par arrêté du 23 août 1946,1946/08/23 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00082926,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Couvent de Sainte-Claire,La-Boétie (rue de) 4,propriété d'une personne privée,,Façades et toitures sur rue et sur cour et la galerie du cloître : inscription par arrêté du 25 février 1944,1944/02/25 : inscrit MH,,15e siècle , 16e siècle , 17e siècle,,,,,,,,,,,,,,,,,
PA00082925,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancien couvent de l'Ordre de Notre-Dame,"Sous-Préfecture (place de la) 4, 6",propriété du département,,Immeuble à l'exception des parties classées (cad. BM 204) : inscription par arrêté du 16 novembre 1949 , Escalier intérieur monumental avec la rampe à balustres : classement par arrêté du 23 avril 1981,1949/11/16 : inscrit MH , 1981/04/23 : classé MH,,17e siècle,,,,,,,,,,,,,,,,,
PA00082924,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,"Cimetière Saint-Benoît, enfeux et chapelle sépulcrale",,propriété de la commune,,"Cimetière Saint-Benoît (partie subsistante) , enfeux et chapelle sépulcrale (cad. BI 205, 270, 271, 272) : classement par arrêté du 22 novembre 1981",1981/11/22 : classé MH,,12e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA00082923,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ruines du château de Temniac,,propriété d'une association,,Château de Temniac (ruines) (cad. AS 155) : classement par arrêté du 11 décembre 1969,1969/12/11 : classé MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082922,recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Château de la Boëtie,,propriété d'une personne privée,,"Château : inscription par arrêté du 6 décembre 1948 - Terrasse du château, pigeonnier, moulin et son bief (cad. BV 12 ", DT 32) : inscription par arrêté du 26 novembre 1998,1948/12/06 : inscrit MH , 1998/11/26 : inscrit MH,,4e quart 16e siècle,,,,,,,,,,,,,,,,,
PA00082921,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancienne Chapelle des Récollets ou des Pénitents et son cloître,,propriété de la commune,,Chapelle des Récollets ou des Pénitents (ancienne) et son cloître : inscription par arrêté du 8 décembre 1937,1937/12/08 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00082920,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Chapelle des Pénitents Bleus ou chapelle Saint-Benoît,,propriété de la commune,,"Chapelle des Pénitents Bleus ou chapelle Saint-Benoît, près de la cathédrale : classement par arrêté du 14 mars 1944",1944/03/14 : classé MH,,12e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA00082919,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Chapelle des Pénitents Blancs,Jean-Jacques-Rousseau (rue) , Charité (rue de la),propriété de la commune,,Chapelle des Pénitents Blancs : classement par arrêté du 14 mars 1944,1944/03/14 : classé MH,,17e siècle,,,,,,,,,,,,,,,,,,
PA00082918,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Chapelle de Notre-Dame-de-Bonne-Rencontre,,propriété d'une association,,Chapelle de Notre-Dame-de-Bonne-Rencontre (cad. D 329) : inscription par arrêté du 22 août 1949,1949/08/22 : inscrit MH,,17e siècle,,,,,,,,,,,,,,,,,,,
PA00082917,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,"Ancienne Chapelle des Dames-de-la-Foi, ou des Mirepoises",Fénelon (rue) 15,propriété d'une personne privée,,"Chapelle des Dames-de-la-Foi, ou des Mirepoises (ancienne) (cad. H 434) : inscription par arrêté du 29 juillet 1963",1963/07/29 : inscrit MH,,18e siècle,,,,,,,,,,,,,,,,,,,
PA00082916,Recensement immeubles MH,Aquitaine , Dordogne , Sarlat-la-Canéda,Aquitaine,24,Sarlat-la-Canéda,24520,Ancienne cathédrale Saint-Sacerdos,,propriété de la commune,,Cathédrale (ancienne) : classement par liste de 1840,1840 : classé MH,,12e siècle , 14e siècle , 15e siècle , 17e siècle,,,,,,,,,,,,,,,,
PA00082915,Recensement immeubles MH,Aquitaine , Dordogne , Sarlande,Aquitaine,24,Sarlande,24519,Eglise Saint-Léger,,propriété de la commune,,Clocher : inscription par arrêté du 22 août 1949,1949/08/22 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA00082914,Recensement immeubles MH,Aquitaine , Dordogne , Salignac-Eyvignes,Aquitaine,24,Salignac-Eyvignes,24516,Maison,Halle (place de la),propriété privée,,"Maison, avec le mur en retour portant des arrachements formant la limite des parcelles cadastrales 140 et 142 (cad. AB 140 à 142, 145) : classement par arrêté du 4 juillet 1995",1995/07/04 : classé MH,,13e siècle , 14e siècle,,,,,,,,,,,,,,,,,,
PA00082913,Recensement immeubles MH,Aquitaine , Dordogne , Salignac-Eyvignes,Aquitaine,24,Salignac-Eyvignes,24516,Eglise Saint-loup d'Eybenes,,propriété de la commune,,Eglise d'Eybenes (cad. B 505) : inscription par arrêté du 17 décembre 1947,1947/12/17 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA00082912,Recensement immeubles MH,Aquitaine , Dordogne , Salignac-Eyvignes,Aquitaine,24,Salignac-Eyvignes,24516,Château de Salignac,,propriété d'une personne privée,,Les façades et toitures des bâtiments , les remparts , le sol (cad. AB 257) : inscription par arrêté du 23 mai 1969,1969/05/23 : inscrit MH,,12e siècle , 16e siècle,,,,,,,,,,,,,,,,
PA00082911,recensement immeubles MH,Aquitaine , Dordogne , Salignac-Eyvignes,Aquitaine,24,Salignac-Eyvignes,24516,Château ou manoir d'Eyrignac,,propriété d'une personne privée,,"Le manoir et les jardins d'Eyrignac, en totalité, à savoir le manoir avec les communs et dépendances, les jardins avec les pavillons et le vivier (cad. AR 78 : manoir, pavillons de la chapelle, ancien pigeonnier, communs et dépendances ", 146 : grand bassin ou vivier ," 69, 72 à 77, 84 : jardins et pavillon de l'ancienne maladrerie) : inscription par arrêté du 20 décembre 2005",2005/12/20 : inscrit MH,,17e siècle , 18e siècle , 3e quart 20e siècle,,,,,,,,,,,,,,,
PA00082910,recensement immeubles MH,Aquitaine , Dordogne , Salignac-Eyvignes,Aquitaine,24,Salignac-Eyvignes,24516,Château du Claux,,propriété d'une société privée,,"Ensemble, sols et bâtis, formé par le château (cad. BD 28 à 33) : classement par arrêté du 29 mai 2001",2001/05/29 : classé MH,,4e quart 15e siècle , 1er quart 16e siècle,,,,,,,,,,,,,,,,,,
PA00082909,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Vincent-le-Paluel,Aquitaine,24,Saint-Vincent-le-Paluel,24512,Eglise Saint-Vincent,,propriété de la commune,,Eglise : inscription par arrêté du 5 octobre 1946,1946/10/05 : inscrit MH,,14e siècle , 15e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA00082908,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Vincent-le-Paluel,Aquitaine,24,Saint-Vincent-le-Paluel,24512,Château de Paluel,,propriété d'une personne privée,,"Château de Paluel (cad. B 80, 81) : inscription par arrêté du 5 novembre 1927",1927/11/05 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082907,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Vincent-Jalmoutiers,Aquitaine,24,Saint-Vincent-Jalmoutiers,24511,Eglise,,propriété de la commune,,Eglise (cad. A) : inscription par arrêté du 5 janvier 1948,1948/01/05 : inscrit MH,,12e siècle , 13e siècle,,,,,,,,,,,,,,,,,,
PA00082906,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Vincent-de-Cosse,Aquitaine,24,Saint-Vincent-de-Cosse,24510,Château de Panassou,,propriété d'une personne privée,,Château de Panassou (cad. A 70) : inscription par arrêté du 6 décembre 1948,1948/12/06 : inscrit MH,,15e siècle , 16e siècle,,,,,,,,,,,,,,,,,,
PA00082905,Recensement immeubles MH,Aquitaine , Dordogne , Sainte-Trie,Aquitaine,24,Sainte-Trie,24507,Abbaye de Dalon,,propriété d'une personne privée,,"Le corps de logis et la salle voûtée dite salle capitulaire ainsi que le pigeonnier (cad. D 179, 180) : inscription par arrêté du 27 septembre 1948",1948/09/27 : inscrit MH,,13e siècle,,,,,,,,,,,,,,,,,,,
PA00082904,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Sulpice-d'Excideuil,Aquitaine,24,Saint-Sulpice-d'Excideuil,24505,Manoir d'Igonie,,propriété d'une personne privée,,Ensemble des façades et toitures du manoir , fuye (cad. G 64) : inscription par arrêté du 12 juillet 1965,1965/07/12 : inscrit MH,,15e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA00082903,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Sulpice-d'Excideuil,Aquitaine,24,Saint-Sulpice-d'Excideuil,24505,Eglise Saint-Césaire,,propriété de la commune,,Eglise (cad. AN 139) : inscription par arrêté du 15 janvier 1974,1974/01/15 : inscrit MH,,12e siècle , 17e siècle,,,,,,,,,,,,,,,,,,
PA00082902,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Sulpice-de-Mareuil,Aquitaine,24,Saint-Sulpice-de-Mareuil,24503,Eglise Saint-Sulpice,,propriété de la commune,,Eglise (cad. B 106) : inscription par arrêté du 24 juin 1948,1948/06/24 : inscrit MH,,12e siècle , 13e siècle,,,,,,,,,,,,,,,,,,
PA00082901,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Sulpice-de-Mareuil,Aquitaine,24,Saint-Sulpice-de-Mareuil,24503,Croix,,propriété d'une personne privée,,"Croix, à l'entrée du parc du château La Faye (cad. B 119) : inscription par arrêté du 5 janvier 1948",1948/01/05 : inscrit MH,,2e quart 17e siècle,,,,,,,,,,,,,,,,,,,
PA00082900,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Seurin-de-Prats,Aquitaine,24,Saint-Seurin-de-Prats,24501,Château de Prats,,propriété d'une personne privée,,Les façades et toitures du château et de ses dépendances (cad. C 24) : inscription par arrêté du 30 octobre 1963,1963/10/30 : inscrit MH,,2e moitié 18e siècle,,,,,,,,,,,,,,,,,,,
PA00082899,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Romain-de-Monpazier,Aquitaine,24,Saint-Romain-de-Monpazier,24495,Eglise Saint-Romain,,propriété de la commune,,Eglise (cad. AE 6) : inscription par arrêté du 25 février 1974,1974/02/25 : inscrit MH,,12e siècle , 13e siècle,,,,,,,,,,,,,,,,,,
PA00082898,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Raphaël,Aquitaine,24,Saint-Raphaël,24493,Eglise Saint-Raphaël,,propriété de la commune,,Les deux piliers de l'ancienne église et les deux chapiteaux sculptés encastrés dans le mur extérieur de la sacristie : inscription par arrêté du 22 février 1927,1927/02/22 : inscrit MH,,,,,,,,,,,,,,,,,,,,,
PA00082897,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Privat-des-Prés,Aquitaine,24,Saint-Privat-des-Prés,24490,Eglise Saint-Privat,,propriété de la commune,,Eglise : classement par liste de 1862,1862 : classé MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA00082896,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pompont,Aquitaine,24,Saint-Pompont,24488,Ancienne porte fortifiée,près de l'église,propriété d'une personne privée,,"Porte fortifiée (ancienne) , près de l'église : classement par arrêté du 3 juin 1937",1937/06/03 : classé MH,,13e siècle,,,,,,,,,,,,,,,,,,,
PA00082895,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pompont,Aquitaine,24,Saint-Pompont,24488,Enceinte et monument des Grilloux,,propriété d'une personne privée,,Enceinte et monument des Grilloux (cad. AI 138) : inscription par arrêté du 17 juin 1980,1980/06/17 : inscrit MH,,,,,,,,,,,,,,,,,,,,,
PA00082894,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pompont,Aquitaine,24,Saint-Pompont,24488,Château de Saint-Pompon,,propriété d'une personne privée,,"Château de Saint-Pompon (cad. C 41, 42, 44) : inscription par arrêté du 2 février 1948",1948/02/02 : inscrit MH,,16e siècle,,,,,,,,,,,,,,,,,,,
PA00082893,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pompont,Aquitaine,24,Saint-Pompont,24488,Château de Mespoulet,,propriété d'une personne privée,,Donjon du 12e siècle (cad. C 979) : inscription par arrêté du 24 juin 1948,1948/06/24 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA00082892,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Frugie,Aquitaine,24,Saint-Pierre-de-Frugie,24486,Château de Vieillecour,,propriété d'une personne privée,,Château de Vieillecour (cad. B 984) : inscription par arrêté du 4 octobre 1946,1946/10/04 : inscrit MH,,16e siècle,,,,,,,,,,,,,,,,,,,
PA00082891,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Frugie,Aquitaine,24,Saint-Pierre-de-Frugie,24486,Château de Frugie,,propriété d'une personne privée,,Les façades et toitures (cad. AB 108) : inscription par arrêté du 21 mars 1968,1968/03/21 : inscrit MH,,14e siècle , 15e siècle,,,,,,,,,,,,,,,,,,
PA00082890,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Côle,Aquitaine,24,Saint-Pierre-de-Côle,24485,Eglise Saint-Pierre-ès-Liens,,propriété de la commune,,Eglise : inscription par arrêté du 15 novembre 1926,1926/11/15 : inscrit MH,,11e siècle , 12e siècle,,,,,,,,,,,,,,,,,,
PA00082889,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Côle,Aquitaine,24,Saint-Pierre-de-Côle,24485,Ruines du château de Bruzac,,propriété d'une personne privée,,Château de Bruzac (ruines) : inscription par arrêté du 27 septembre 1948,1948/09/27 : inscrit MH,,12e siècle , 15e siècle , 16e siècle,,,,,,,,,,,,,,,,,
PA00082888,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Côle,Aquitaine,24,Saint-Pierre-de-Côle,24485,Chapelle des Ladres de Bruzac,,propriété d'une personne privée,,Chapelle des Ladres de Bruzac (cad. C 571) : inscription par arrêté du 24 juin 1948,1948/06/24 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082887,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pierre-de-Chignac,Aquitaine,24,Saint-Pierre-de-Chignac,24484,Château de Lardimalie,,propriété d'une personne privée,,Les façades et les toitures ," les pièces suivantes avec leur décor : rez-de-chaussée, vestibule avec l'escalier et la cage, grand et petit salon, salle à manger, bureau, bibliothèque "," premier étage : chambre de Berthe Secrestat dite chambre rose, chambre de Pierre Secrestat dite chambre aux muguets, chambre bleue ", deuxième étage : chambre dite Chinoise (cad. A 95) : inscription par arrêté du 9 novembre 1984,1984/11/09 : inscrit MH,,19e siècle,,,,,,,,,,,,,,,,
PA00082886,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Paul-Lizonne,Aquitaine,24,Saint-Paul-Lizonne,24482,Eglise Saint-Pierre et Saint-Paul,,propriété de la commune,,Eglise : inscription par arrêté du 6 décembre 1948,1948/12/06 : inscrit MH,,12e siècle , 17e siècle,,,,,,,,,,,,,,,,,,
PA00082885,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pardoux-la-Rivière,Aquitaine,24,Saint-Pardoux-la-Rivière,24479,Hôtel des Voyageurs,Grande-Barre (rue de la),propriété d'une personne privée,,La fenêtre du 16s (cad. C 2129) : inscription par arrêté du 10 novembre 1976,1976/11/10 : inscrit MH,,16e siècle,,,,,,,,,,,,,,,,,,,
PA00082884,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pardoux-et-Vielvic,Aquitaine,24,Saint-Pardoux-et-Vielvic,24478,Eglise de Vielvic,,propriété de la commune,,Eglise de Vielvic : inscription par arrêté du 30 avril 1925,1925/04/30 : inscrit MH,,11e siècle , 12e siècle,,,,,,,,,,,,,,,,,,
PA00082883,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Pardoux-et-Vielvic,Aquitaine,24,Saint-Pardoux-et-Vielvic,24478,Eglise de Saint-Pardoux,,propriété de la commune,,Eglise de Saint-Pardoux : inscription par arrêté du 30 avril 1925,1925/04/30 : inscrit MH,,12e siècle , 17e siècle , 18e siècle,,,,,,,,,,,,,,,,,
PA00082882,recensement immeubles MH,Aquitaine , Dordogne , Sainte-Orse,Aquitaine,24,Sainte-Orse,24473,Eglise Saint-Ours,,propriété de la commune,,L'église (cad. AB 344) : inscription par arrêté du 14 octobre 1970,1970/10/14 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,,
PA00082881,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Nexans,Aquitaine,24,Saint-Nexans,24472,Eglise,,propriété de la commune,,La façade occidentale y compris le mur-clocher , le portail d'entrée (cad. B2 678) : inscription par arrêté du 15 juillet 1963,1963/07/15 : inscrit MH,,12e siècle,,,,,,,,,,,,,,,,,,
PA00082880,Recensement immeubles MH,Aquitaine , Dordogne , Sainte-Nathalène,Aquitaine,24,Sainte-Nathalène,24471,Manoir de la Tour,,propriété d'une personne privée,,Les façades et les toitures : inscription par arrêté du 27 mai 1952,1952/05/27 : inscrit MH,,15e siècle,,,,,,,,,,,,,,,,,,,
PA00082878,Recensement immeubles MH,Aquitaine , Dordogne , Sainte-Mondane,Aquitaine,24,Sainte-Mondane,24470,Château de Fénelon,,propriété d'une personne privée,,Le château à l'exception des parties classées : inscription par arrêté du 5 novembre 1927 , Les façades et toitures de l'ensemble des bâtiments du château , les sols entourant l'édifice , les enceintes et le bastion fortifié. (cad. A 874 à 879) : classement par arrêté du 13 avril 1962 ," Façades et toitures de la ferme de la Condamine, de la maison dite de la nourrice et de la métairie de Fraysange (cad. A 616, 605, 572) : inscription par arrêté du 15 juin 1962",1927/11/05 : inscrit MH , 1962/04/13 : classé MH , 1962/06/15 : inscrit MH,,12e siècle , 14e siècle , 16e siècle , 17e siècle,,,,,,,,,,
PA00082877,Recensement immeubles MH,Aquitaine , Dordogne , Saint-Michel-de-Montaigne,Aquitaine,24,Saint-Michel-de-Montaigne,24466,Eglise Saint-Michel,,propriété de la commune,,Eglise (cad. AI 216) : classement par arrêté du 16 octobre 1970,1970/10/16 : classé MH,,12e siècle , 16e siècle , 17e siècle,,,,,,,,,,,,,,,,,
