X,Y,FID,categori,nom,type,capacite,etat,adresse,gestionn,tranche_ag,hjrs_ouver,source,export
341175.1969,7685249.5302,62,Centre multi accueil,Canebie 2,Etablissement Associatif,20,Actuel,61 chemin des Eucalyptus - 97490 Sainte-Clotilde,Ass. Canebie,2 mois et demi à 6 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342825.5189,7688824.6612,63,Crèche collective,Léonel Payet,Etablissement Municipal,70,Actuel,6 Rue Jacob de Cordemoy - 97490 Sainte-Clotilde,C.C.A.S. de Saint Denis,2 mois et demi à 2 ans,Du lundi au vendredi de 7h30 à 16h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342261.3916,7688579.4158,64,Micro crèche,Les Goyaves,Etablissement associatif,10,Actuel,24 rue des Goyaves - 97490 Sainte-Clotilde,Asso Ogestras,2 mois à 4 ans,Du lundi au vendredi de 7h15 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
343469.3711,7685058.2715,65,Micro crèche,Lé Kalou,Etablissement Privé,10,Actuel,96 Rue Monseigneur Langavant - 97490 Sainte-Clotilde,Scic Ecsper,15 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
344269.8929,7687393.5542,66,Crèche collective,Séquoia,Etablissement Privé,60,Actuel,Rue Boyer de la Giroday - 97400 Saint-Denis,Crèche And Go,2 mois à 6 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
343446.7081,7685068.8406,67,Micro crèche,Ladybirds,Etablissement Privé,10,Actuel,98 Rue Monseigneur Langavant - 97490 Sainte-Clotilde,Scic Ecsper,15 mois à 4 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
343459.6335,7685060.8491,68,Micro crèche,Ti baba écolo,Etablissement Privé,10,Actuel,96 Rue Monseigneur Langavant - 97490 Sainte-Clotilde,Scic Ecsper,3 mois à 14 mois,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342116.3492,7688352.5917,69,Micro crèche,Tamarins 1,Etablissement Associatif,10,Actuel,80 Rue de la Croix - 97490 Sainte-Clotilde,Ass. Les Babies,3 mois à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342116.9313,7688344.4426,70,Micro crèche,Tamarins 2,Etablissement Associatif,10,Actuel,78 Rue de la Croix - 97490 Sainte-Clotilde,Ass. Les Babies,3 mois à 3 ans,Du lundi au vendredi de 7h00 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338316.16,7689574.32,71,Micro crèche,Leroy 2,Etablissement Privé,10,Actuel,7 Impasse Adolphe Leroy - 97400 Saint-Denis,Crèche And Go,3 mois à 4 ans,Du lundi au vendredi de 7h30 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
337836.32,7690482.66,72,Halte garderie,Halte garderie Lambert,Etablissement Privé,14,Actuel,Avenue du chef de Bataillon Lambert Villa 1801 - 97400 Saint-Denis,IGESA,3 mois à 6 ans,Du lundi au vendredi de 8h00 à 15h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
338992.877,7688883.3251,73,Centre multi accueil,Les Onyx,Etablissement Privé,40,Actuel,7 Allée des Onyx - 97400 Saint-Denis,DSAP,1 à 4 ans,Du lundi au vendredi de 7h15 à 18h00,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
342210.71,7688697.74,74,Jardin d'enfants,Le Jardin de Poucelina,Etablissement Associatif,25,Actuel,9 Rue Méziaire Guignard - 97490 Sainte-Clotilde,Ass de Poucélina,2 mois à 6 ans,Du lundi au vendredi de 7h00 à 18h15,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
336261.9554,7689125.2962,75,Crèche collective,Les Poinsettias,Etablissement Associatif,43,Actuel,Route des Palmiers 16 Chemin de l'IME - 97417 La Montagne,association babyland,10 semaines à 4 ans,Du lundi au vendredi de 7h00 à 17h30,Centre Communal d'action Sociale (CCAS) Distribuée par la Direction Patrimoine Foncier /  Plan & SIG - Mairie de Saint-Denis,08/12/2020
