Maison des Associations;Date ;Heure de début;Heure de fin;Activité;Type de réservation;Association
GARIBALDI;25/02/2016;18H00;19H00;SPORT;COURS;DAME D'AZUR - DA
GARIBALDI;25/02/2016;19H00;21H00;THEATRE;COURS;LE PETIT THEATRE DE LAURE
GARIBALDI;25/02/2016;19H00;21H00;COURS DE LANGUE;COURS;LET'S SPEAK IN ENGLISH
GARIBALDI;25/02/2016;19H00;21H00;CITOYENNETE;REUNION;LDH - LIGUE DES DROITS DE L'HOMME
GARIBALDI;26/02/2016;09H00;18H00;SANTE;ATELIER;MAISON DU DIABETE ET DU RISQUE CARDOVASCULAIRE DES ALPES-MARITIMES
GARIBALDI;26/02/2016;09H00;12H00;ENSEIGNEMENT;CONFERENCE;UNIA - UNIVERSITE DE NICE INTER AGES
GARIBALDI;26/02/2016;10H00;11H00;COURS DE LANGUE;CONFERENCE;MANABI
GARIBALDI;26/02/2016;10H00;12H00;SANTE;COURS;ANPAA06 - ASSOCIATION NATIONALE DE PREVENTION EN ALCOOLOGIE ET ADDICTOLOGIE -COMITE DES A M   
GARIBALDI;26/02/2016;14H00;18H00;ORGANISME PUBLIC;REUNION;MAIRIE DE NICE
GARIBALDI;26/02/2016;15H00;16H00;EMPLOI;PERMANENCE;EXPLORATION PROFESSIONNELLE
GARIBALDI;26/02/2016;15H00;20H00;MUSIQUE;COURS;CMM - CENTRE MUSICAL MEDITERRANEEN
GARIBALDI;26/02/2016;15H00;17H00;CULTURE;CONFERENCE;NICE PARIS CULTURE 
GARIBALDI;26/02/2016;16H00;19H00;CULTURE;COURS;ARJNCA - ASSOCIATION DES RESSORTISSANTS JAPONAIS DE NICE COTE D'AZUR
GARIBALDI;26/02/2016;18H00;21H00;SPECTACLE VIVANT;COURS;LA COMPAGNIE DE L'INVENT'ERE
GARIBALDI;26/02/2016;18H00;21H00;CITOYENNETE;REUNION;CNR - COMITE POUR UNE NOUVELLE RESISTANCE 
GARIBALDI;26/02/2016;18H00;21H00;CITOYENNETE;CONFERENCE;ENGAGEMENT CITOYEN POUR LA FRANCE
GARIBALDI;26/02/2016;19H00;21H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
GARIBALDI;27/02/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/02/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/02/2016;10H00;13H00;CULTURE;COURS;FRANCE RUSSIE
GARIBALDI;27/02/2016;10H00;13H00;CULTURE;REUNION;AEFL - ASSOCIATION D'ETUDES DE FREUD ET LACAN
GARIBALDI;27/02/2016;10H00;13H00;DANSE ;COURS;TIGERACT AND CO
GARIBALDI;27/02/2016;10H00;11H00;SANTE;COURS;SOS CANCER DU SEIN REGION PACA
