objectid,inseecom,commune,date_maj,nom,st_areashape,st_lengthshape
1195,90010,BELFORT,2020/01/29 00:00:00+00, ,7604.484253485,1892.18512522545
1196,90010,BELFORT,2020/01/29 00:00:00+00, ,1950.84162246,438.20249507344
1197,90010,BELFORT,2020/01/29 00:00:00+00, ,3687.69590219,799.170087856905
1198,90010,BELFORT,2020/01/29 00:00:00+00, ,745.438647175,144.33213569427
1199,90010,BELFORT,2020/01/29 00:00:00+00, ,2424.940361595,504.750888019567
1200,90010,BELFORT,2020/01/29 00:00:00+00, ,2606.419420625,422.951159194727
1201,90010,BELFORT,2020/01/29 00:00:00+00, ,37340.06560249,8348.03278597948
1202,90010,BELFORT,2020/01/29 00:00:00+00, ,2809.97642001,679.524669820069
1203,90032,DANJOUTIN,2020/01/29 00:00:00+00, ,661.489570595,130.014672127224
1204,90068,MEROUX,2020/01/29 00:00:00+00, ,7280.80728684,1620.04341524262
1205,90010,BELFORT,2020/01/29 00:00:00+00,Pont,150.74554425,58.147183021929
1206,90099,VALDOIE,2020/01/29 00:00:00+00, ,75522.141421425,15830.2242176692
1207,90032,DANJOUTIN,2020/01/29 00:00:00+00,Pont,60.47663048,48.9331771417546
1208,90015,BOTANS,2020/01/29 00:00:00+00, ,376580.17207988,26785.386429406
1209,90037,ELOIE,2020/01/29 00:00:00+00, ,5827.06845871,1967.15224183153
1210,90010,BELFORT,2020/01/29 00:00:00+00, ,2164.03705592,295.011675334922
1211,90010,BELFORT,2020/01/29 00:00:00+00, ,1184.30880989,295.267557021939
1212,90010,BELFORT,2020/01/29 00:00:00+00, ,99355.77793099,6993.29338035048
1213,90002,ARGIESANS,2020/01/29 00:00:00+00, ,6911.181228655,502.660319348681
1214,90010,BELFORT,2020/01/29 00:00:00+00, ,17833.612176155,3367.59651893385
1215,90072,MORVILLARS,2020/01/29 00:00:00+00, ,2167.606759485,211.345609503895
1216,90087,ROPPE,2020/01/29 00:00:00+00, ,1576.264723875,515.962503457139
1217,90010,BELFORT,2020/01/29 00:00:00+00, ,939.43362812,296.38458872324
1219,90010,BELFORT,2020/01/29 00:00:00+00, ,1409.491242735,296.947916807419
1221,90010,BELFORT,2020/01/29 00:00:00+00,Pont,1494.674277925,232.644323116825
1222,90010,BELFORT,2020/01/29 00:00:00+00, ,683.335125335,188.615376812804
1223,90001,ANDELNANS,2020/01/29 00:00:00+00, ,22.107282215,19.1496342237621
1224,90010,BELFORT,2020/01/29 00:00:00+00, ,29367.64289312,5453.61067821927
1225,90010,BELFORT,2020/01/29 00:00:00+00, ,2305.315551145,403.819980268994
1227,90087,ROPPE,2020/01/29 00:00:00+00, ,5487.85792611,994.576049864853
1228,90002,ARGIESANS,2020/01/29 00:00:00+00, ,20733.896508555,2386.40780601806
1229,90010,BELFORT,2020/01/29 00:00:00+00, ,6732.626016575,1278.45785291745
