% Requête :select s.senmat as "Matricule", s.quacod as "Qualité", s.sennomuse as "Nom usuel", s.senprenomuse as "Prénom usuel", s.etasencod as "État Sénateur",
% c.COMLIBAMELI as "Nom commission", typ.TYPORGLIB as "Type commission", mc.MEMCOMID as "Id d'appartenance",  mc.MEMCOMDATDEB as "Début d'appartenance", mc.memcomdatfin as "Fin d'appartenance",
% fmc.FONMEMCOMID as "Id de fonction",
% fmc.FONMEMCOMDATDEB as "Début de fonction", fmc.FONMEMCOMDATFIN as "Fin de fonction",
% fc.FONCOMLIB as "Fonction"
% from senateurs.sen s
% inner join senateurs.memcom mc ON s.senmat = mc.senmat
% inner join senateurs.com c on mc.ORGCOD = c.ORGCOD
% inner join senateurs.fonmemcom fmc on mc.MEMCOMID = fmc.memcomid
% inner join senateurs.foncom fc on fmc.FONCOMCOD = fc.FONCOMCOD
% inner join senateurs.typorg typ on c.TYPORGCOD = typ.TYPORGCOD
% where s.etasencod in ('ACTIF', 'ANCIEN') 
% and c.EVETEMPUB = 'OUI'
% and mc.EVETEMPUB = 'OUI'
% and fmc.EVETEMPUB = 'OUI'
% order by s.sennomuse, s.senprenomuse, s.senmat, mc.MEMCOMDATDEB, fmc.fonmemcomdatdeb
% Aucun paramètre
% 14723 ligne(s) de résultat
Matricule,Qualité,Nom usuel,Prénom usuel,État Sénateur,Nom commission,Type commission,Id d'appartenance,Début d'appartenance,Fin d'appartenance,Id de fonction,Début de fonction,Fin de fonction,Fonction
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3711,2007-07-26 00:00:00.0,2007-07-31 00:00:00.0,4627,2007-07-26 00:00:00.0,2007-07-31 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3826,2007-12-11 00:00:00.0,2007-12-13 00:00:00.0,4742,2007-12-11 00:00:00.0,2007-12-13 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,3856,2007-12-18 00:00:00.0,2007-12-19 00:00:00.0,4771,2007-12-18 00:00:00.0,2007-12-19 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,4073,2008-07-09 00:00:00.0,2008-07-22 00:00:00.0,4988,2008-07-09 00:00:00.0,2008-07-22 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,6509,2008-11-13 00:00:00.0,2009-01-27 00:00:00.0,7939,2008-11-13 00:00:00.0,2009-01-27 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,6523,2008-12-09 00:00:00.0,2008-12-15 00:00:00.0,7955,2008-12-09 00:00:00.0,2008-12-15 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,"Mission commune d'information ""Outre-mer""","Mission commune d'information ",6643,2009-03-05 00:00:00.0,2009-07-07 00:00:00.0,8072,2009-03-05 00:00:00.0,2009-07-07 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,6692,2009-04-02 00:00:00.0,2020-09-30 00:00:00.0,8118,2009-04-02 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,7184,2010-02-16 00:00:00.0,2020-09-30 00:00:00.0,8655,2010-02-16 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,,Commission mixte paritaire,7883,2011-06-27 00:00:00.0,2020-09-30 00:00:00.0,9395,2011-06-27 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,Mission commune d'information sur l'action extérieure de la France en matière de recherche pour le développement,"Mission commune d'information ",9215,2013-03-13 00:00:00.0,2013-10-17 00:00:00.0,10926,2013-03-13 00:00:00.0,2013-10-17 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,Mission commune d'information sur l'avenir de l'organisation décentralisée de la République,"Mission commune d'information ",9298,2013-04-23 00:00:00.0,2013-10-09 00:00:00.0,11011,2013-04-23 00:00:00.0,2013-10-09 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,Mission commune d'information sur le nouveau rôle et la nouvelle stratégie pour l'UE dans la gouvernance de l'internet,"Mission commune d'information ",9685,2013-11-19 00:00:00.0,2014-09-30 00:00:00.0,11460,2013-11-19 00:00:00.0,2014-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,Commission spéciale sur la lutte contre le système prostitutionnel,Commission spéciale,9877,2014-01-22 00:00:00.0,2014-01-22 00:00:00.0,11670,2014-01-22 00:00:00.0,2014-01-22 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,"Commission spéciale Délimitation des régions, élections régionales et départementales et calendrier électoral",Commission spéciale,9959,2014-06-18 00:00:00.0,2015-01-17 00:00:00.0,11776,2014-06-18 00:00:00.0,2015-01-17 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,"Commission spéciale sur le projet de loi pour la croissance, l'activité et l'égalité des chances économiques",Commission spéciale,10753,2015-01-15 00:00:00.0,2015-03-25 00:00:00.0,12805,2015-01-15 00:00:00.0,2015-03-25 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,REGLEMENT,Commission mixte paritaire,12507,2016-07-08 00:00:00.0,2016-07-12 00:00:00.0,14703,2016-07-08 00:00:00.0,2016-07-12 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,"CS croissance et transformation des entreprises  ",Commission spéciale,14513,2018-10-10 00:00:00.0,2019-05-23 00:00:00.0,17255,2018-10-10 00:00:00.0,2019-05-23 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,CE Évaluation des politiques publiques face aux pandémies,Commission d'enquête,15763,2020-07-01 00:00:00.0,2020-09-30 00:00:00.0,18726,2020-07-01 00:00:00.0,2020-07-01 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,CE Évaluation des politiques publiques face aux pandémies,Commission d'enquête,15763,2020-07-01 00:00:00.0,2020-09-30 00:00:00.0,18731,2020-07-02 00:00:00.0,2020-09-30 00:00:00.0,Vice-Président
89017R,M.,Adnot,Philippe,ANCIEN,commission des finances,Commission permanente,19,,2020-09-30 00:00:00.0,947,2001-10-03 00:00:00.0,2004-10-07 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,commission des finances,Commission permanente,19,,2020-09-30 00:00:00.0,3546,2004-10-07 00:00:00.0,2011-09-30 00:00:00.0,Secrétaire
89017R,M.,Adnot,Philippe,ANCIEN,commission des finances,Commission permanente,19,,2020-09-30 00:00:00.0,9685,2011-10-01 00:00:00.0,2017-10-03 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,commission des finances,Commission permanente,19,,2020-09-30 00:00:00.0,15855,2017-10-04 00:00:00.0,2020-09-30 00:00:00.0," "
89017R,M.,Adnot,Philippe,ANCIEN,commission des finances,Commission permanente,19,,2020-09-30 00:00:00.0,19,,2001-10-03 00:00:00.0," "
000448,M.,Agarande,Henri,ANCIEN,commission de la culture,Commission permanente,1062,,1980-10-01 00:00:00.0,1609,,1980-10-01 00:00:00.0," "
000425,M.,Ahmed,Abdallah Abderamane,ANCIEN,commission de la culture,Commission permanente,1059,1963-10-03 00:00:00.0,1973-01-09 00:00:00.0,1606,1965-10-06 00:00:00.0,1968-10-08 00:00:00.0,Secrétaire
