Code,Communes,taux com. - taxe fonc. / prop. bâties - 2014 (%),taux com. - taxe fonc. / prop. non bâties - 2014 (%),produit com. - taxe fonc. / prop. non bâties - 2014 (euros)
33441,Saint-Martin-Lacaussade,"13,5","29,9",7805
33442,Saint-Martin-de-Laye,"16,2","56,4",13323
33443,Saint-Martin-de-Lerm,"8,8",30,7374
33444,Saint-Martin-de-Sescas,"15,3","77,6",29466
33445,Saint-Martin-du-Bois,"14,4","49,9",15648
33446,Saint-Martin-du-Puy,"11,6","29,9",11686
33447,Saint-Médard-de-Guizières,"21,1","74,4",23641
33448,Saint-Médard-d'Eyrans,"21,2","40,6",18811
33449,Saint-Médard-en-Jalles,"23,9",60,70865
33450,Saint-Michel-de-Castelnau,"12,9","35,3",15545
33451,Saint-Michel-de-Fronsac,"23,7","73,5",35420
33452,Saint-Michel-de-Rieufret,"19,5","57,3",18427
33453,Saint-Michel-de-Lapujade,"19,3","67,7",16510
33454,Saint-Morillon,"19,1","59,3",26979
33456,Saint-Palais,15,"64,7",20768
33457,Saint-Pardon-de-Conques,"13,9","55,2",10969
33458,Saint-Paul,"17,6",37,22120
33459,Saint-Pey-d'Armens,"14,3","40,7",36385
33460,Saint-Pey-de-Castets,"15,1",46,21238
33461,Saint-Philippe-d'Aiguille,18,"54,3",18245
33462,Saint-Philippe-du-Seignal,11,"38,3",6415
33463,Saint-Pierre-d'Aurillac,"17,1","94,2",30681
33464,Saint-Pierre-de-Bat,"9,9","40,8",13869
33465,Saint-Pierre-de-Mons,"16,6","66,5",30686
33466,Saint-Quentin-de-Baron,"25,2","66,2",25818
33467,Saint-Quentin-de-Caplong,"11,5",32,14023
33468,Sainte-Radegonde,"13,9","45,8",27858
33470,Saint-Romain-la-Virvée,"24,1","61,4",20293
33471,Saint-Sauveur,"16,2",35,59465
33472,Saint-Sauveur-de-Puynormand,"25,9","67,1",8456
33473,Saint-Savin,"18,7","48,4",29824
33474,Saint-Selve,"20,7","76,5",32896
33475,Saint-Seurin-de-Bourg,"25,1","53,7",11283
33476,Saint-Seurin-de-Cadourne,"17,2","46,7",109548
33477,Saint-Seurin-de-Cursac,"21,5","39,3",5665
33478,Saint-Seurin-sur-l'Isle,"48,9","121,8",29722
33479,Saint-Sève,"14,7","61,2",9823
33480,Saint-Sulpice-de-Faleyrens,"24,8","54,7",193553
33481,Saint-Sulpice-de-Guilleragues,"10,6","40,3",7594
33482,Saint-Sulpice-de-Pommiers,"9,2","32,6",17941
33483,Saint-Sulpice-et-Cameyrac,"17,1","42,2",37562
33484,Saint-Symphorien,"11,7","23,7",19603
33485,Sainte-Terre,"15,1","54,2",34665
33486,Saint-Trojan,"27,8","67,5",11346
33487,Saint-Vincent-de-Paul,"20,4","47,5",16398
33488,Saint-Vincent-de-Pertignas,"13,4",46,15848
33489,Saint-Vivien-de-Blaye,10,"21,8",4495
33490,Saint-Vivien-de-Médoc,"19,3","53,9",44933
33491,Saint-Vivien-de-Monségur,"14,1","43,8",18153
33492,Saint-Yzan-de-Soudiac,"18,9","43,4",7949
33493,Saint-Yzans-de-Médoc,"11,7",33,28282
