sexe;nom_de_famille;prénom;groupe_politique;parti_de_rattachement
M.;RAFFARIN;Jean-Pierre;UMP;Union pour un mouvement populaire
M.;RAINAUD;Marcel;SOC;Parti socialiste
M.;RAOUL;Daniel;SOC;Parti socialiste
M.;REBSAMEN;François;SOC;Parti socialiste
M.;REICHARDT;André;UMP;Union pour un mouvement populaire
M.;REINER;Daniel;SOC;Parti socialiste
M.;REQUIER;Jean-Claude;RDSE;Parti radical de gauche
M.;RETAILLEAU;Bruno;UMP;Union pour un mouvement populaire
M.;REVET;Charles;UMP;Union pour un mouvement populaire
M.;RICHARD;Alain;SOC;Parti socialiste
M.;RIES;Roland;SOC;Parti socialiste
M.;ROCHE;Gérard;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
M.;ROGER;Gilbert;SOC;Parti socialiste
M.;ROME;Yves;SOC;Parti socialiste
Mme;ROSSIGNOL;Laurence;SOC;Parti socialiste
M.;SAUGEY;Bernard;UMP;Union pour un mouvement populaire
M.;SAVARY;René-Paul;UMP;Union pour un mouvement populaire
M.;SAVIN;Michel;UMP;Union pour un mouvement populaire
Mme;SCHILLINGER;Patricia;SOC;Parti socialiste
Mme;SCHURCH;Mireille;CRC;Parti communiste français
M.;SIDO;Bruno;UMP;Union pour un mouvement populaire
Mme;SITTLER;Esther;UMP;Union pour un mouvement populaire
M.;SOILIHI;Abdourahamane;UMP;Union pour un mouvement populaire
M.;SUEUR;Jean-Pierre;SOC;Parti socialiste
M.;SUTOUR;Simon;SOC;Parti socialiste
M.;TANDONNET;Henri;UDI-UC;Union des radicaux, centristes, indépendants et démocrates (URCID)
Mme;TASCA;Catherine;SOC;Parti socialiste
M.;TESTON;Michel;SOC;Parti socialiste
M.;TEULADE;René;SOC;Parti socialiste
M.;TODESCHINI;Jean-Marc;SOC;Parti socialiste
M.;TRILLARD;André;UMP;Union pour un mouvement populaire
Mme;TROENDLE;Catherine;UMP;Union pour un mouvement populaire
M.;TROPEANO;Robert;RDSE;Parti radical de gauche
M.;TRUCY;François;UMP;Union pour un mouvement populaire
M.;TUHEIAVA;Richard;SOC;Front de libération de la Polynésie - Tavini Huiraatira no te ao ma'ohi
M.;TÜRK;Alex;NI;Démocratie et République
M.;VAIRETTO;André;SOC;Parti socialiste
M.;VALL;Raymond;RDSE;Parti radical de gauche
M.;VALLINI;André;SOC;Parti socialiste
M.;VANDIERENDONCK;René;SOC;Parti socialiste
M.;VANLERENBERGHE;Jean-Marie;UDI-UC;Le Centre pour la France
M.;VAUGRENARD;Yannick;SOC;Parti socialiste
M.;VENDASI;François;RDSE;Parti radical de gauche
M.;VENDEGOU;Hilarion;UMP;Le Rassemblement
M.;VERGÈS;Paul;CRC;Parti communiste réunionnais
M.;VERGOZ;Michel;SOC;Parti socialiste
M.;VESTRI;René;UMP;Union pour un mouvement populaire
M.;VIAL;Jean-Pierre;UMP;Union pour un mouvement populaire
M.;VINCENT;Maurice;SOC;Parti socialiste
M.;WATRIN;Dominique;CRC;Parti communiste français
M.;YUNG;Richard;SOC;Parti socialiste
