CANDIDATS,REMPLACANTS,PARTIS,VOIX OBTENUES 1er tour,VOIX OBTENUES 2d tour,% DE VOIX OBTENUES 1er tour,% DE VOIX OBTENUES 2d tour,canton,participation
Philippe DUBOIS Nelly LOPEZ,Bruno-Philippe PARIS Françoise LOSTANLEN,Front National,2249,, 15.50%,,Bordeaux-3,45.96 %
,,,,,,,,
Géraldine AMOUROUX Pierre LOTHAIRE,Annie RIGEADE Ludovic BOUSQUET,Union de la Droite,7753,, 53.45%,54.04% ,Bordeaux-3,45.96 %
,,,,,,,,
Pascale BOUSQUET-PITT Hubert TORTES SAINT JAMMES,Bérénice RICARD Mathieu HAZOUARD,Union de la Gauche,3695,, 25.47%,,Bordeaux-3,45.96 %
,,,,,,,,
Catherine BOUILHET Frédéric RICHOU,Valérie DENOIS DE SAINT MARC Pascal RICHOU,Front National,1774,, 12.48%,,Bordeaux-2,46.72 %
,,,,,,,,
Sophie ELORRI Jean-Pierre WEIL,Marianne MASSIERA Daniel LEYMARIE,Front de Gauche,1009,, 7.10%,,Bordeaux-2,46.72 %
,,,,,,,,
Jean-Louis DAVID Laurence DESSERTINE,Gérald CARMONA Sandrine RENOU,Union de la Droite,7215,7849, 50.75%,62.05% ,Bordeaux-2,46.72 %
,,,,,,,,
Bernard BLANC Camille HOLLEBECQUE,Omar SALHI Florence LAMARQUE,Parti Socialiste,4220,4801, 29.68%,37.95% ,Bordeaux-2,46.72 %
,,,,,,,,
Emmanuelle CUNY Fabien ROBERT,Céline GRELAUD Philippe FRAILE MARTIN,Union de la Droite,3062,4224, 37.81%,46.70% ,Bordeaux-1,36.21 %
,,,,,,,,
Jean-Louis DECOSNE Sylvie JUSTOME,Yves SUBERVIE Anne COUVEZ,Divers gauche,544,, 6.72%,,Bordeaux-1,36.21 %
,,,,,,,,
Clara AZEVEDO Matthieu ROUVEYRE,Johanna DAGORN Yann PERSILLON,Union de la Gauche,3107,4821, 38.36%,53.30% ,Bordeaux-1,36.21 %
,,,,,,,,
Angélique GAUTRON François JAY,Monique SPANOU Régis LAFAYE,Front National,702,, 8.67%,,Bordeaux-1,36.21 %
,,,,,,,,
Servane CRUSSIERE Adrien RAYSSAC,Françoise THIMONIER Vincent BORDAS,Front de Gauche,684,, 8.45%,,Bordeaux-1,36.21 %
,,,,,,,,
Nelson PALIS-NIERMANN Céline PAPIN,Lucas CHEVALIER Jacqueline-Lilas DJWEJA LOLEKA,Europe-Ecologie-Les Verts,1126,, 9.36%,,Bordeaux-4,44.13 %
,,,,,,,,
Philippe DORTHE Corinne GUILLEMOT,Faouzi SEBBANE Sandrine DOUCET,Parti Socialiste, ¨3 707,5404, 30.80%,50.36% ,Bordeaux-4,44.13 %
,,,,,,,,
Véronique MARCHAND Robert MERCADIER,Sylvie GAIDIER Jean-François CHAMOUARD,Front National,1948,, 16.19%,,Bordeaux-4,44.13 %
,,,,,,,,
Anne-Marie CAZALET Yohan DAVID,Magali FRONZES Samir BADOUR,Union de la Droite,4232,5327, 35.17%,49.64% ,Bordeaux-4,44.13 %
,,,,,,,,
Evelyne CERVANTES-DESCUBES Vincent MAURIN,Maire-Laure CARDINAL Rasit SALMAN,Front de Gauche,1021,, 8.48%,,Bordeaux-4,44.13 %
,,,,,,,,
Pierre DUCOUT Edith MONCOUCUT,Bernard GARRIGOU Bouchra EL OIFI,Parti Socialiste,10183,11449, 49.01%,60.87% ,Pessac-1,54.10 %
,,,,,,,,
Gérard AUPETIT Corinne LEROUGE,Yves POUSSADE Maryse GOUVERNET,Front National,3347,, 16.11%,,Pessac-1,54.10 %
,,,,,,,,
Aurélie DI CAMILLO Benoît RAUTUREAU,Agnès OUDOT Frédéric ZGAINSKI,Union de la Droite,5758,7359, 27.71%,39.13% ,Pessac-1,54.10 %
,,,,,,,,
Maud MATHIEU Pierre PUJO,Véronique MANDRON Maxime GABORIT,Front de Gauche,1488,, 7.16%,,Pessac-1,54.10 %
,,,,,,,,
Laure CURVALE Sébastien SAINT-PASTEUR,Marie-Laure DUPONT André VARIGNON,Union de la Gauche,6694,7934, 40.69%,50.86% ,Pessac-2,49.82 %
,,,,,,,,
Fabien LEROY Karine ROUX-LABAT,Naji YAHMDI Dominique POUSTYNNIKOFF,Union de la Droite,5746,7666, 34.93%,49.14% ,Pessac-2,49.82 %
,,,,,,,,
Nancy MENU Anthony SEMCHAOUI,Yasmina CHILLAOUI Didier SARAT,Front de Gauche,1385,, 8.42%,,Pessac-2,49.82 %
,,,,,,,,
Colette DE LA CONCEPTION Philippe MANUSSET,Anne BARTHELEMY Yvan BRODUT,Front National,2627,, 15.97%,,Pessac-2,49.82 %
,,,,,,,,
Dominique CLAVIER Christiane DORNON,Dominique CAVAILLOLS Marie-Josée MORLOT,Union de la Droite,4352,4798, 28.89%,30.70% ,Landes des Graves,52.66 %
,,,,,,,,
Hervé GILLÉ Sophie PIQUEMAL,Jean-Louis DARTIAILH Carine JEROME,Union de la Gauche,4879,6426, 32.39%,41.12% ,Landes des Graves,52.66 %
,,,,,,,,
Michel ARMAGNACQ Nicole RUIZ,Alain BOUTINEAUD Cristine GUERNE,Front de Gauche,1378,, 9.15%,,Landes des Graves,52.66 %
,,,,,,,,
Edwige DIAZ Jean-Claude SAUNIER,Camille COLOMBIER Christophe BARET,Front National,4453,4404, 29.56%,28.18% ,Landes des Graves,52.66 %
,,,,,,,,
Serge HADON Soizic LION,Sébastien BUTEL Danièle MALLEBEAU,Front National,3869,3275,23.46%,31.86% ,Cenon,42.36 %
,,,,,,,,
Sophie VAN DEN ZANDE Philippe VERBOIS,Anabela PEREIRA Dominique ALCALA,Union de la Droite,3835,, 23.25%,,Cenon,42.36 %
,,,,,,,,
Alain DAVID Nathalie LACUEY,Jean-Jacques PUYOBRAU Céline MERLIOT,Parti Socialiste,6687,7005, 40.55%,68.14% ,Cenon,42.36 %
,,,,,,,,
Josette DURLIN Miguel MENENDEZ,Nadège EDWARDS Patrice BUQUET,Front de Gauche,1795,, 10.88%,,Cenon,42.36 %
,,,,,,,,
Jean-Louis GILLES Anne GUILLOT,Gian-Luigi ARMENTANO Marie DA ROCHA,Divers,306,, 1.86%,,Cenon,42.36 %
,,,,,,,,
Marie-Christine COUQUIAUD Diederik MEYNIER,Sonia CHAPEL Laurent RENAUDIN,Front National,3037,, 20.09%,,La Brède,51.88 % 
,,,,,,,,
Bernard FATH Corinne MARTINEZ,Christian TAMARELLE Françoise BETES,Parti Socialiste,6387,7663, 42.25%,55.65% ,La Brède,51.88 % 
,,,,,,,,
Cathy DAGUERRE Jean-Pierre GARROT ESPARROS,Françoise DEDIEU Yannick CHOLLET,Front de Gauche,1293,, 8.55%,,La Brède,51.88 % 
,,,,,,,,
Béatrice CANADA Francis GAZEAU,Marie VIGUIER Michel DUFRANC,Union de la Droite,4400,6106, 29.11%,44.35% ,La Brède,51.88 % 
,,,,,,,,
lorence LASSARADE Frédéric LATASTE,Catherine RUDDELL Michel BRUN,Union de la Droite,4006,4761, 29.50%,34.43% ,Entre-Deux-Mers,55.98 %
,,,,,,,,
