Site,Code,Libellé DP,adresse,Numéro interne,Politique publique,Catégorie de sites,Date création,Statut,latitude,longitude
ARTIGUES-PRES-BORDEAUX MPS,S0218,ARTIGUES-PRES-BORDEAUX MPS S0218,24 Avenue Virecourt 33370 Artigues-près-Bordeaux,9150,06 Performance de collectivité,8-ADMINISTRATIONS DIVERSES,13/07/1999,propriétaire,44.854845,-0.499042
IZON PORT FRAYCHE,S0614,IZON PORT FRAYCHE S0614,Chemin Vert 33450 Izon,97341,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,09/11/2000,propriétaire,44.92524,-0.36321
BRAUD-ET-ST-LOUIS FOYER,S1571,BRAUD-ET-ST-LOUIS FOYER S1571,42 Avenue de la République 33820 Braud-et-Saint-Louis,773192,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,21/11/2003,propriétaire,45.249953,-0.625126
LACANAU ENS RIVES-DE-L'ETANG,S0635,LACANAU ENS RIVES-DE-L'ETANG S0635,Batejin 33680 Lacanau,97411,07 Protection valorisation environnement,5-ENVIRONNEMENT,09/02/2001,propriétaire,44.935141,-1.127044
CAVIGNAC PERM,S0611,CAVIGNAC PERM S0611,61 Avenue de Paris 33620 Cavignac,97347,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,17/11/2000,locataire,45.100151,-0.389614
BIGANOS AS,S0621,BIGANOS AS S0621,1 Rue Jean Zay 33380 Biganos,97356,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,11/12/2000,locataire,44.642335,-0.976279
BORDEAUX MDSI CANIHAC,S1585,BORDEAUX MDSI CANIHAC S1585,18 Rue Canihac 33000 Bordeaux,773778,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,20/02/2004,propriétaire,44.834071,-0.574378
LACANAU FORET BORDES,S0831,LACANAU FORET BORDES S0831,Les As 33680 Lacanau,97626,07 Protection valorisation environnement,5-ENVIRONNEMENT,18/07/2001,propriétaire,45.000428,-1.183289
MOULON ENS PALUS-DE-DORDOGNE,S0793,MOULON ENS PALUS-DE-DORDOGNE S0793,Ninon 33420 Moulon,97526,07 Protection valorisation environnement,5-ENVIRONNEMENT,19/04/2001,propriétaire,44.848904,-0.220865
AUDENGE PORT CENTRE,S0779,AUDENGE PORT CENTRE S0779,Rue Arago 33980 Audenge,97547,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,20/04/2001,propriétaire,44.6815,-1.006267
BAZAS DFCI,S0630,BAZAS DFCI S0630,Route de Sauviac 33430 Bazas,97495,07 Protection valorisation environnement,5-ENVIRONNEMENT,23/03/2001,propriétaire,44.422549,-0.206717
PESSAC CLG NOÈS,S0107,PESSAC CLG NOÈS S0107,8 Avenue de Noës 33600 Pessac,87170,03 Collège et éducation,2-EDUCATION,16/06/2000,propriétaire,44.812596,-0.636227
CENON MDSI LA-MARÈGUE,S0215,CENON MDSI LA-MARÈGUE S0215,2 Rue Pauline Kergomard 33150 Cenon,87212,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,16/06/2000,propriétaire,44.849597,-0.507173
BAZAS CLG AUSONE,S0286,BAZAS CLG AUSONE S0286,5 Avenue Franck Cazenave 33430 Bazas,87241,03 Collège et éducation,2-EDUCATION,16/06/2000,propriétaire,44.426896,-0.219328
PAUILLAC AS,S0481,PAUILLAC AS S0481,CITE CANTERANNE 33250 Pauillac,87521,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,16/06/2000,locataire,45.202235,-0.75502
AMBES ENS PALUS-DU-BEC-D'AMBES,S0224,AMBES ENS PALUS-DU-BEC-D'AMBES S0224,Cante Loup 33810 Ambès,88031,07 Protection valorisation environnement,5-ENVIRONNEMENT,16/06/2000,propriétaire,44.998537,-0.519861
MERIGNAC CDDP,S0076,MERIGNAC CDDP S0076,Avenue du Président René Coty 33700 Mérignac,88079,03 Collège et éducation,2-EDUCATION,16/06/2000,propriétaire,44.839234,-0.652088
COUTRAS CRD-CE,S0186,COUTRAS CRD-CE S0186,"68 Zone Industrielle Eygreteau, ZI EYGRETEAU 33230 Coutras",88118,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,16/06/2000,propriétaire,45.036982,-0.099067
AUROS GIE,S0284,AUROS GIE S0284,Route de Grignols 33124 Auros,88141,06 Performance de collectivité,8-ADMINISTRATIONS DIVERSES,16/06/2000,propriétaire,44.492015,-0.140659
EYRANS CRD-AIRE,S1631,EYRANS CRD-AIRE S1631,,802757,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,30/09/2005,propriétaire,,
BLAYE EXUTOIRE,S1591,BLAYE EXUTOIRE S1591,,774144,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,30/03/2004,locataire,,
ABZAC CRD-AIRE,S1693,ABZAC CRD-AIRE S1693,,989053,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,09/09/2008,locataire,,
MARTILLAC FORET MIGELANE,S1658,MARTILLAC FORET MIGELANE S1658,,963560,07 Protection valorisation environnement,5-ENVIRONNEMENT,09/05/2007,propriétaire,,
CESSAC CRD-AIRE,S1684,CESSAC CRD-AIRE S1684,Route de Hauteroque 33760 Cessac,978257,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,02/10/2007,locataire,44.732772,-0.173171
MONTUSSAN CRD-AIRE,S1679,MONTUSSAN CRD-AIRE S1679,,978259,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,02/10/2007,locataire,,
LATRESNE ENS BOIS-DU-GRAND-PARC,S1681,LATRESNE ENS BOIS-DU-GRAND-PARC S1681,Route de Latresne 33360 Carignan-de-Bordeaux,978265,07 Protection valorisation environnement,5-ENVIRONNEMENT,05/10/2007,propriétaire,44.80616,-0.479755
EYNESSE CRD-AIRE,S1667,EYNESSE CRD-AIRE S1667,,977756,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,14/09/2007,locataire,,
ST-ANDRE-ET-APPELLES CRD-AIRE,S1669,ST-ANDRE-ET-APPELLES CRD-AIRE S1669,,977758,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,18/09/2007,locataire,,
STE-RADEGONDE CRD-AIRE,S1672,STE-RADEGONDE CRD-AIRE S1672,,977779,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,18/09/2007,locataire,,
NAUJAC CRD-AIRE,S1674,NAUJAC CRD-AIRE S1674,Route de la Gare 33990 Naujac-sur-Mer,977797,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,19/09/2007,propriétaire,45.262286,-1.045265
LAVAZAN CRD-AIRE,S1675,LAVAZAN CRD-AIRE S1675,Rolin 33690 Lavazan,977817,05 Mobilité,9-INFRASTRUCTURES ET TRANSPORTS,20/09/2007,locataire,44.383476,-0.115549
BRUGES CLG,S1710,BRUGES CLG S1710,57 Rue Jean Claudeville 33520 Bruges,998932,03 Collège et éducation,2-EDUCATION,04/02/2009,propriétaire,44.873297,-0.587669
VILLENAVE-D'ORNON LABO-VEGETAL,S1738,VILLENAVE-D'ORNON LABO-VEGETAL S1738,71 Avenue Édouard Bourlaux 33140 Villenave-d'Ornon,1008101,06 Performance de collectivité,8-ADMINISTRATIONS DIVERSES,04/06/2009,locataire,44.785477,-0.576522
CAUDROT PERM,S1787,CAUDROT PERM S1787,15 Place des Tilleuls 33490 Caudrot,1342773,08 Solidarité autonomie et santé,6-SOLIDARITE LOGEMENT SOCIAL,09/10/2013,locataire,44.576757,-0.143041
GRIGNOLS GIE,,GRIGNOLS GIE ,,1373354,,,16/06/2000,,,
ESPIET CRD-AIRE,,ESPIET CRD-AIRE ,,1381766,,,21/05/2002,,,
MERIGNAC CRD-SIEGE,,MERIGNAC CRD-SIEGE ,,1379223,,,16/06/2000,,,
CADILLAC CRD-CE,,CADILLAC CRD-CE ,,1379226,,,16/06/2000,,,
CIVRAC-DE-BLAYE CONDUITE-EAU-BLAYAIS,S0803,CIVRAC-DE-BLAYE CONDUITE-EAU-BLAYAIS S0803,Nodeau 33920 Civrac-de-Blaye,97565,05 Mobilité,,22/05/2001,locataire,45.101136,-0.470459
SAUGON CONDUITE-EAU-BLAYAIS,S0809,SAUGON CONDUITE-EAU-BLAYAIS S0809,La Croix 33920 Saugon,97571,05 Mobilité,,22/05/2001,locataire,45.176468,-0.509978
LES-BILLAUX ENS PALUS-DE-L'ISLE,S0673,LES-BILLAUX ENS PALUS-DE-L'ISLE S0673,Les Billaux,97487,07 Protection valorisation environnement,,12/02/2001,propriétaire,44.951792,-0.237995
BLAYE DFCI,S0743,BLAYE DFCI S0743,23 Rue Joseph Taillasson 33390 Blaye,97498,07 Protection valorisation environnement,,23/03/2001,propriétaire,45.133964,-0.664263
GRIGNOLS EX-CRD-CE,S0744,GRIGNOLS EX-CRD-CE S0744,La Tuilerie 33690 Grignols,97504,05 Mobilité,,10/04/2001,propriétaire,44.389178,-0.061742
LACANAU DFCI,S0753,LACANAU DFCI S0753,24 Avenue du Lac 33680 Lacanau,97513,07 Protection valorisation environnement,,10/04/2001,propriétaire,44.978209,-1.08277
ST-LAURENT-DU-MEDOC DFCI,S0755,ST-LAURENT-DU-MEDOC DFCI S0755,1 Rue Claude Chein 33112 Saint-Laurent-Médoc,97515,07 Protection valorisation environnement,,10/04/2001,propriétaire,45.150679,-0.827553
BORDEAUX CLG EDOUARD-VAILLANT,S0001,BORDEAUX CLG EDOUARD-VAILLANT S0001,,87132,03 Collège et éducation,,16/06/2000,propriétaire,,
SOULAC-SUR-MER CLG GEORGES-MANDEL,S0035,SOULAC-SUR-MER CLG GEORGES-MANDEL S0035,27 Rue Georges Mandel 33780 Soulac-sur-Mer,87141,03 Collège et éducation,,16/06/2000,propriétaire,45.505694,-1.122645
BORDEAUX CLG CASSIGNOL,S0050,BORDEAUX CLG CASSIGNOL S0050,62 Rue Laroche 33000 Bordeaux,87148,06 Performance de collectivité,,16/06/2000,propriétaire,44.852214,-0.585127
MERIGNAC CLG CAPEYRON,S0069,MERIGNAC CLG CAPEYRON S0069,50 Avenue de Bedat 33700 Mérignac,87152,03 Collège et éducation,,16/06/2000,propriétaire,44.84956,-0.647461
LEGE-CAP-FERRET CLG G.POMPIDOU,S0114,LEGE-CAP-FERRET CLG G.POMPIDOU S0114,52 BIS Avenue de la Mairie 33950 Lège-Cap-Ferret,87176,03 Collège et éducation,,16/06/2000,propriétaire,44.792627,-1.146411
GRADIGNAN MDSI,S0138,GRADIGNAN MDSI S0138,6 Avenue Jean Larrieu 33170 Gradignan,87183,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.773537,-0.615768
BOURG-SUR-GIRONDE CLG JACQUES-PRÉVERT,S0161,BOURG-SUR-GIRONDE CLG JACQUES-PRÉVERT S0161,La Clote Nord 33710 Bourg,87191,03 Collège et éducation,,16/06/2000,propriétaire,45.042318,-0.554438
ST-CIERS-SUR-GIRONDE CLG JEAN-MONNET,S0173,ST-CIERS-SUR-GIRONDE CLG JEAN-MONNET S0173,10 Rue des Droits de l'Homme 33820 Saint-Ciers-sur-Gironde,87196,03 Collège et éducation,,16/06/2000,propriétaire,45.293816,-0.612541
CASTILLON-LA-BATAILLE CLG ALIÉNOR-D'AQUITAINE,S0183,CASTILLON-LA-BATAILLE CLG ALIÉNOR-D'AQUITAINE S0183,3 Rue Jean Monnet 33350 Castillon-la-Bataille,87199,03 Collège et éducation,,16/06/2000,propriétaire,44.850693,-0.051429
CENON CLG JEAN-ZAY,S0217,CENON CLG JEAN-ZAY S0217,,87214,03 Collège et éducation,,16/06/2000,propriétaire,,
BORDEAUX EX-MDSI BASTIDE,S0232,BORDEAUX EX-MDSI BASTIDE S0232,23 Rue Leyronneire 33100 Bordeaux,87222,06 Performance de collectivité,,16/06/2000,propriétaire,44.844051,-0.549349
LATRESNE CLG CAMILLE-CLAUDEL,S0238,LATRESNE CLG CAMILLE-CLAUDEL S0238,6 Chemin du Stade 33360 Latresne,87225,03 Collège et éducation,,16/06/2000,propriétaire,44.786346,-0.492574
CADILLAC MDSI,S0252,CADILLAC MDSI S0252,21 Route de Sauveterre 33410 Cadillac,87230,08 Solidarité autonomie et santé,,16/06/2000,proprietaire et bailleur,44.636493,-0.315872
STE-FOY-LA-GRANDE CLG ELIE-FAURE,S0278,STE-FOY-LA-GRANDE CLG ELIE-FAURE S0278,La Grace 33220 Port-Sainte-Foy-et-Ponchapt,87239,03 Collège et éducation,,16/06/2000,propriétaire,44.836761,0.180146
LANGON CLG JULES-FERRY,S0305,LANGON CLG JULES-FERRY S0305,22 Rue Jules Ferry 33210 Langon,87245,03 Collège et éducation,,16/06/2000,propriétaire,44.549058,-0.252896
LE-PIAN-SUR-GARONNE CLG,S0346,LE-PIAN-SUR-GARONNE CLG S0346,Lalieyre Nord 33490 Le Pian-sur-Garonne,87255,03 Collège et éducation,,16/06/2000,propriétaire,44.570257,-0.228972
BORDEAUX MDSI ST-AUGUSTIN,S0474,BORDEAUX MDSI ST-AUGUSTIN S0474,72 BIS Rue Guillaume Leblanc 33000 Bordeaux,87265,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.832842,-0.59136
COUTRAS MDSI,S0476,COUTRAS MDSI S0476,1 Rue Denis Cordonnier 33230 Coutras,87267,08 Solidarité autonomie et santé,,16/06/2000,locataire,45.04077,-0.123177
LORMONT MDSI,S0552,LORMONT MDSI S0552,,87316,08 Solidarité autonomie et santé,,16/06/2000,locataire,,
CASTILLON-LA-BATAILLE AS,S0182,CASTILLON-LA-BATAILLE AS S0182,27 Rue Antoune 33350 Castillon-la-Bataille,87516,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.854375,-0.047685
BORDEAUX BASTIDE-EN-VILLE,S0490,BORDEAUX BASTIDE-EN-VILLE S0490,1 Rue Étobon Chenebier 33100 Bordeaux,87530,08 Solidarité autonomie et santé,,16/06/2000,proprietaire et bailleur,44.841729,-0.552651
MARCHEPRIME AS,S0504,MARCHEPRIME AS S0504,14 Rue Jacques Blieck 33380 Marcheprime,87544,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.693019,-0.851372
MONSEGUR AS,S0505,MONSEGUR AS S0505,Place des Tilleuls 33580 Monségur,87545,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.648822,0.077312
STE-EULALIE AS,S0516,STE-EULALIE AS S0516,7 Rue Laroque 33560 Sainte-Eulalie,87555,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.903084,-0.483164
BAZAS MDSI REPUBLIQUE,S0287,BAZAS MDSI REPUBLIQUE S0287,14 Avenue de la République 33430 Bazas,87975,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.433779,-0.22585
ETAULIERS GIE,S0174,ETAULIERS GIE S0174,9 Route de Saint-Savin 33820 Étauliers,87980,06 Performance de collectivité,,16/06/2000,propriétaire,45.220903,-0.571954
GRIGNOLS GIE,S0296,GRIGNOLS GIE S0296,33 Route de Casteljaloux 33690 Grignols,87982,06 Performance de collectivité,,16/06/2000,propriétaire,44.385754,-0.041638
LATRESNE GIE,S0246,LATRESNE GIE S0246,9 Chemin du Stade 33360 Latresne,87989,06 Performance de collectivité,,16/06/2000,proprietaire et bailleur,44.787046,-0.491569
LEGE-CAP-FERRET GIE,S0123,LEGE-CAP-FERRET GIE S0123,28 Route de Bordeaux 33950 Lège-Cap-Ferret,87990,06 Performance de collectivité,,16/06/2000,propriétaire,44.723622,-1.203353
LIBOURNE GIE,S0203,LIBOURNE GIE S0203,46 Avenue de Verdun 33500 Libourne,87993,06 Performance de collectivité,,16/06/2000,propriétaire,44.909098,-0.236097
MERIGNAC POLE-SOLIDARITE,S0072,MERIGNAC POLE-SOLIDARITE S0072,419 Avenue de Verdun 33700 Mérignac,87996,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.840733,-0.641543
PODENSAC GIE,S0315,PODENSAC GIE S0315,23 Cours du Mal Foch 33720 Podensac,88001,06 Performance de collectivité,,16/06/2000,propriétaire,44.651832,-0.357159
ST-MACAIRE GIE,S0276,ST-MACAIRE GIE S0276,3 Place Tourny 33490 Saint-Macaire,88007,06 Performance de collectivité,,16/06/2000,propriétaire,44.563723,-0.228777
BORDEAUX CDEF SAFE,S0058,BORDEAUX CDEF SAFE S0058,49 Place des Martyrs de la Résistance 33200 Bordeaux,88020,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.842257,-0.585736
BORDEAUX SOLIDARITE,S0060,BORDEAUX SOLIDARITE S0060,,88041,06 Performance de collectivité,,16/06/2000,propriétaire,,
BORDEAUX MDSPORTS DAVID-JOHNSTON,S0360,BORDEAUX MDSPORTS DAVID-JOHNSTON S0360,153 Rue David Johnston 33000 Bordeaux,88045,02 Cohésion vie sociale et épanouissement,,16/06/2000,propriétaire,44.852524,-0.589672
BORDEAUX UDAF,S0464,BORDEAUX UDAF S0464,25 Rue Francis Martin 33000 Bordeaux,88053,08 Solidarité autonomie et santé,,16/06/2000,propriétaire,44.849677,-0.58229
MERIGNAC CENTRE-D'ANIMATION BEAUDESERT,S0089,MERIGNAC CENTRE-D'ANIMATION BEAUDESERT S0089,102 Allée de l'Envol 33700 Mérignac,88080,08 Solidarité autonomie et santé,,16/06/2000,locataire,44.845624,-0.683481
ST-VIVIEN-DE-MEDOC DESSERTE,S0469,ST-VIVIEN-DE-MEDOC DESSERTE S0469,Saint-Vivien-de-Médoc,88095,05 Mobilité,,16/06/2000,propriétaire,45.429637,-1.036538
LOUCHATS ENS JAUMOT,S0535,LOUCHATS ENS JAUMOT S0535,"Avenue des Acacias, JORDIS 33125 Louchats",88105,07 Protection valorisation environnement,,16/06/2000,propriétaire,44.517572,-0.590291
CADILLAC CRD-CE,S0254,CADILLAC CRD-CE S0254,Avenue Joseph Caussil 33410 Cadillac,88113,05 Mobilité,,16/06/2000,propriétaire,44.635307,-0.312018
CARBON-BLANC ETAT,S0211,CARBON-BLANC ETAT S0211,,88115,06 Performance de collectivité,,16/06/2000,propriétaire,,
LA-REOLE CRD-CE,S0259,LA-REOLE CRD-CE S0259,Chemin de Peyreffite 33190 La Réole,88128,05 Mobilité,,16/06/2000,locataire,44.587721,-0.039788
LA-BREDE CRD-CE,S0299,LA-BREDE CRD-CE S0299,"9000 Allée de la Gare, A L'ESPERANCE 33650 La Brède",88135,05 Mobilité,,16/06/2000,propriétaire,44.680714,-0.521993
AMBARES-ET-LAGRAVE GIE,S0212,AMBARES-ET-LAGRAVE GIE S0212,42 Avenue Jules Ferry 33440 Ambarès-et-Lagrave,88138,06 Performance de collectivité,,16/06/2000,propriétaire,44.93212,-0.502695
ANDERNOS-LES-BAINS GIE,S0120,ANDERNOS-LES-BAINS GIE S0120,9 Avenue d'Ares 33510 Andernos-les-Bains,88139,06 Performance de collectivité,,16/06/2000,propriétaire,44.750202,-1.108305
CESTAS GIE,S0351,CESTAS GIE S0351,3 Avenue du 19 Mars 1962 33610 Cestas,88159,06 Performance de collectivité,,16/06/2000,propriétaire,44.742328,-0.683623
HOURTIN ENS PALU-DE-MOLUA,S0582,HOURTIN ENS PALU-DE-MOLUA S0582,Rue de Parancan 33990 Hourtin,88309,07 Protection valorisation environnement,,19/09/2000,propriétaire,45.182953,-1.058356
BLAYE CDL ILE-NOUVELLE,S0587,BLAYE CDL ILE-NOUVELLE S0587,Rue Brun 33390 Blaye,88313,07 Protection valorisation environnement,,19/09/2000,proprietaire et bailleur,45.127405,-0.660784
BELIN-BELIET CRD-AIRE,S0607,BELIN-BELIET CRD-AIRE S0607,Perron 33830 Belin-Béliet,88469,05 Mobilité,,27/10/2000,propriétaire,44.486961,-0.771002
BORDEAUX ETAT RUE-LIVRAN,S0594,BORDEAUX ETAT RUE-LIVRAN S0594,7 Rue du Livran 33000 Bordeaux,88474,06 Performance de collectivité,,27/10/2000,propriétaire,44.830427,-0.590894
SILLAS CRD-AIRE,S1806,SILLAS CRD-AIRE S1806,Le Jougla-Nord 33690 Marions,1367387,05 Mobilité,,13/01/2015,propriétaire,44.378403,-0.071363
CAZAUGITAT CRD-AIRE,S1779,CAZAUGITAT CRD-AIRE S1779,Merlet 33790 Cazaugitat,1330501,05 Mobilité,,24/05/2013,propriétaire,44.696474,0.016534
BORDEAUX AS RUE-DES-3-CONILS,S1614,BORDEAUX AS RUE-DES-3-CONILS S1614,6 Rue des 3 Conils 33000 Bordeaux,784960,08 Solidarité autonomie et santé,,19/01/2005,locataire,44.83882,-0.574737
ST-CHRISTOLY-DE-BLAYE CONDUITE-EAU,S1612,ST-CHRISTOLY-DE-BLAYE CONDUITE-EAU S1612,Hervé 33920 Saint-Christoly-de-Blaye,784655,05 Mobilité,,07/12/2004,propriétaire,45.12134,-0.496692
LIGNAN GARE,S1496,LIGNAN GARE S1496,1 Chemin du Bon Coin 33360 Lignan-de-Bordeaux,254015,06 Performance de collectivité,,29/01/2002,propriétaire,44.797154,-0.427393
LE-PORGE GARE,S1507,LE-PORGE GARE S1507,LE PORGE OCEAN 33680 Le Porge,254026,06 Performance de collectivité,,29/01/2002,propriétaire,44.892963,-1.212631
HOSTENS MAISON-GAILLARDAN,S1807,HOSTENS MAISON-GAILLARDAN S1807,Gaillardan 33125 Hostens,1367708,06 Performance de collectivité,,14/04/2015,propriétaire,44.492962,-0.645551
ESPIET CRD-AIRE,S1513,ESPIET CRD-AIRE S1513,La Grangeotte 33420 Espiet,401709,05 Mobilité,,21/05/2002,propriétaire,44.798372,-0.253094
LIBOURNE CLG ATELIER-RELAIS,S1643,LIBOURNE CLG ATELIER-RELAIS S1643,10 Avenue de l'Épinette 33500 Libourne,886417,03 Collège et éducation,,20/06/2006,locataire,44.911488,-0.235191
LEGE-CAP-FERRET CRD-CE PONT-DE-BREDOUILLE,S1630,LEGE-CAP-FERRET CRD-CE PONT-DE-BREDOUILLE S1630,85 Avenue de la Presqu'Île 33950 Lège-Cap-Ferret,802735,05 Mobilité,,29/09/2005,propriétaire,44.789227,-1.161683
BOURG-SUR-GIRONDE CRD-AIRE,S1635,BOURG-SUR-GIRONDE CRD-AIRE S1635,Rebeymont 33710 Bourg,802775,05 Mobilité,,03/10/2005,propriétaire,45.043623,-0.552367
ARVEYRES CRD-AIRE,S1636,ARVEYRES CRD-AIRE S1636,Impasse des Gabarres 33500 Arveyres,802779,05 Mobilité,,05/10/2005,propriétaire,44.912154,-0.252379
BORDEAUX AS ALSACE-LORRAINE,S1522,BORDEAUX AS ALSACE-LORRAINE S1522,76 Cours d'Alsace et Lorraine 33000 Bordeaux,633373,08 Solidarité autonomie et santé,,27/09/2002,locataire,44.837634,-0.572107
ST-MARTIN-DU-PUY PYLONE,S1788,ST-MARTIN-DU-PUY PYLONE S1788,Castelmoron 33540 Saint-Martin-du-Puy,1342872,05 Mobilité,,18/10/2013,propriétaire,44.680533,-0.013297
MAZERES MECS GARDERA,S1532,MAZERES MECS GARDERA S1532,Lagrue 33210 Mazères,654766,08 Solidarité autonomie et santé,,15/11/2002,propriétaire,44.519933,-0.249241
LUGON-ET-L'ILE-DU-CARNEY CRD-AIRE,S1552,LUGON-ET-L'ILE-DU-CARNEY CRD-AIRE S1552,Mourey 33240 Lugon-et-l'Île-du-Carnay,706101,05 Mobilité,,13/03/2003,propriétaire,44.955007,-0.330706
LACANAU DIVERS MISTRE,S1600,LACANAU DIVERS MISTRE S1600,Les As 33680 Lacanau,774998,05 Mobilité,,18/05/2004,propriétaire,45.000428,-1.183289
ST-ANDRE-DE-CUBZAC GIE,S1604,ST-ANDRE-DE-CUBZAC GIE S1604,1455 Avenue Jules Ferry 33240 Saint-André-de-Cubzac,781575,06 Performance de collectivité,,17/06/2004,propriétaire,45.003491,-0.430862
ST-DENIS-DE-PILE BDP RELAIS-DE-PRÊT,S1654,ST-DENIS-DE-PILE BDP RELAIS-DE-PRÊT S1654,,893464,02 Cohésion vie sociale et épanouissement,,09/10/2006,locataire,,
SOULAC-SUR-MER PERM,S1815,SOULAC-SUR-MER PERM S1815,Rue de l'Escouarte 33380 Mios,1379461,08 Solidarité autonomie et santé,,15/03/2016,locataire,44.664474,-0.849179
ST-MEDARD-EN-JALLES CLG HASTIGNAN,S0084,ST-MEDARD-EN-JALLES CLG HASTIGNAN S0084,,7943,03 Collège et éducation,,25/06/1999,propriétaire,,
LANGON SOUS-PREFECTURE,S0615,LANGON SOUS-PREFECTURE S0615,19 Cours des Fosses 33210 Langon,97336,06 Performance de collectivité,,09/11/2000,propriétaire,44.555616,-0.248397
LIBOURNE TGI,S0617,LIBOURNE TGI S0617,20 Rue Thiers 33500 Libourne,97338,06 Performance de collectivité,,09/11/2000,propriétaire,44.913972,-0.244625
LIBOURNE SOUS-PREFECTURE,S0618,LIBOURNE SOUS-PREFECTURE S0618,44 Rue Thiers 33500 Libourne,97339,06 Performance de collectivité,,09/11/2000,propriétaire,44.913127,-0.243827
LIBOURNE MECS FRANCOIS-CONSTANT,S1562,LIBOURNE MECS FRANCOIS-CONSTANT S1562,Rue François Constant 33500 Libourne,772165,08 Solidarité autonomie et santé,,22/08/2003,proprietaire et bailleur,44.911427,-0.238718
ST-AUBIN-DE-MEDOC CLG LEONARD-DE-VINCI,S1563,ST-AUBIN-DE-MEDOC CLG LEONARD-DE-VINCI S1563,,772239,03 Collège et éducation,,19/09/2003,propriétaire,,
LA-TESTE-DE-BUCH ENS CANAL-DES-LANDES,S0716,LA-TESTE-DE-BUCH ENS CANAL-DES-LANDES S0716,La Teste-de-Buch,97440,07 Protection valorisation environnement,,12/02/2001,propriétaire,44.632214,-1.146050
ARES ENS DES-PRES-SALES,S0735,ARES ENS DES-PRES-SALES S0735,Rue Coste 33740 Arès,97419,07 Protection valorisation environnement,,09/02/2001,propriétaire,44.762522,-1.138294
BIGANOS CDL PORT-DES-TUILES,S0733,BIGANOS CDL PORT-DES-TUILES S0733,,97426,07 Protection valorisation environnement,,09/02/2001,locataire,,
GUJAN-MESTRAS ENS COULEE-VERTE-CANTERANNE,S0726,GUJAN-MESTRAS ENS COULEE-VERTE-CANTERANNE S0726,Golf de Gujan Mestras 33470 Gujan-Mestras,97432,07 Protection valorisation environnement,,12/02/2001,propriétaire,44.603579,-1.092333
LACANAU CDL ETANG-DE-COUSSEAU,S0689,LACANAU CDL ETANG-DE-COUSSEAU S0689,Les As 33680 Lacanau,97435,07 Protection valorisation environnement,,12/02/2001,locataire,45.000428,-1.183289
LE-VERDON-SUR-MER ENS TOUR-DU-MARAIS-DU-LOGIS,S0678,LE-VERDON-SUR-MER ENS TOUR-DU-MARAIS-DU-LOGIS S0678,Le Verdon-sur-Mer,97381,07 Protection valorisation environnement,,08/02/2001,propriétaire,45.545943,-1.061689
HOURTIN ENS ETANG-DE-HOURTIN-CARCANS,S0719,HOURTIN ENS ETANG-DE-HOURTIN-CARCANS S0719,Rue de Parancan 33990 Hourtin,97384,07 Protection valorisation environnement,,09/02/2001,propriétaire,45.182953,-1.058356
CADAUJAC CLG,S1582,CADAUJAC CLG S1582,250 Chemin du Château 33140 Cadaujac,773720,03 Collège et éducation,,18/02/2004,propriétaire,44.750127,-0.52818
BORDEAUX ARCHIVES QUAI-DE-BRAZZA,S1588,BORDEAUX ARCHIVES QUAI-DE-BRAZZA S1588,87 Quai des Chartrons 33000 Bordeaux,773926,02 Cohésion vie sociale et épanouissement,,16/03/2004,locataire,44.853986,-0.566378
LACANAU FORET BAGANNAIS-NORD,S0829,LACANAU FORET BAGANNAIS-NORD S0829,Les As 33680 Lacanau,97628,07 Protection valorisation environnement,,18/07/2001,propriétaire,45.000428,-1.183289
