FID,OBJECTID,ID_COMMUNE,NOM_COMMUN,COMMUNE_20,COLLEGES_D,CODE_COLLE,NOM_COLLEG,LYCEES_DE_,Zones_GEO,Shape_Leng,SHAPE_Length,SHAPE_Area
274,0,37261,Tours,TOURS,PIERRE CORNEILLE - TOURS,0370991B,COLLÈGE PIERRE CORNEILLE,P.L. COURIER - TOURS,037PLC,12.6504720111,18671.0504926198,1.73409487046
275,0,37261,Tours,TOURS,MICHELET - TOURS,0370041U,COLLÈGE MICHELET,DESCARTES - TOURS,037DESC,9.36203951057,13825.6665627024,1.36269497814
276,0,37261,Tours,TOURS,JULES FERRY - TOURS,0370764E,COLLÈGE JULES FERRY,BALZAC - TOURS,037BALZ,11.7280986108,17311.7785157667,4.68168265406
277,0,37261,Tours,TOURS,PHILIPPE DE COMMYNES - TOURS,0371209N,COLLÈGE PHILIPPE DE COMMYNES,P.L. COURIER - TOURS,037PLC,6.56423815573,9686.33467995561,1.85357273091
278,0,37233,Saint-Pierre-des-Corps,SAINT PIERRE DES CORPS,JACQUES DECOUR - SAINT-PIERRE-DES-CORPS,0370766G,COLLÈGE JACQUES DECOUR,P.L. COURIER - TOURS,037PLC,8.29661802552,12252.0844212569,1.37740530323
279,0,37233,Saint-Pierre-des-Corps,SAINT PIERRE DES CORPS,STALINGRAD - SAINT-PIERRE-DES-CORPS,0371391L,COLLÈGE STALINGRAD,P.L. COURIER - TOURS,037PLC,13.378192954,19866.230772458,3.84719457551
280,0,37122,Joué-lès-Tours,JOUE LES TOURS,VALLÉE VIOLETTE - JOUÉ-LÈS-TOURS,0371316E,COLLÈGE LA VALLÉE VIOLETTE,MONNET - JOUÉ-LÈS-TOURS,037JLT,18.9797963592,28013.9062830192,7.83226624139
281,0,37122,Joué-lès-Tours,JOUE LES TOURS,ARCHE DU LUDE - JOUÉ-LÈS-TOURS,0370791J,COLLÈGE L'ARCHE DU LUDE,MONNET - JOUÉ-LÈS-TOURS,037JLT,18.3449472033,27062.0035771286,12.8590096588
282,0,37122,Joué-lès-Tours,JOUE LES TOURS,BEAULIEU - JOUÉ-LÈS-TOURS,0371098T,COLLÈGE BEAULIEU,MONNET - JOUÉ-LÈS-TOURS,037JLT,16.1867733803,23881.451620487,6.75894659404
283,0,37122,Joué-lès-Tours,JOUE LES TOURS,LA RABIÈRE - JOUÉ-LÈS-TOURS,0370071B,COLLÈGE LA RABIÈRE,MONNET - JOUÉ-LÈS-TOURS,037JLT,15.920433785,23498.6691796605,5.04999942744
284,0,37003,Amboise,AMBOISE,MALRAUX - AMBOISE,0371248F,COLLÈGE MALRAUX,VINCI - AMBOISE,037AMBO,16.2085619395,23942.0534934598,6.35794762511
285,0,37003,Amboise,AMBOISE,CHOISEUL - AMBOISE,0371122U,COLLÈGE CHOISEUL,VINCI - AMBOISE,037AMBO,40.6936731175,60088.1904036385,34.6503201498
286,0,37214,Saint-Cyr-sur-Loire,SAINT CYR SUR LOIRE,COLLÈGE HENRI BERGSON OU LA BECHELLERIE - SAINT-CYR-SUR-LOIRE,0370792K ou 0371126Y,COLLÈGE HENRI BERGSON OU LA BECHELLERIE,CHOISEUL - TOURS,037CHOI,19.3004101238,28523.7692574232,13.4838095069
287,0,37261,Tours,TOURS,ANATOLE FRANCE - TOURS,0370044X,COLLÈGE ANATOLE FRANCE,DESCARTES - TOURS,037DESC,13.86425179,20472.0562159274,2.34544949661
288,0,37261,Tours,TOURS,ANATOLE FRANCE - TOURS,0370044X,COLLÈGE ANATOLE FRANCE,P.L. COURIER - TOURS,037PLC,4.40481971147,6505.55082449043,0.737466166321
289,0,37261,Tours,TOURS,JEAN-PHILIPPE RAMEAU - TOURS,0370886M,COLLÈGE JEAN-PHILIPPE RAMEAU,GRANDMONT - TOURS,037GRAN,6.72999828589,9935.23676482632,1.68161606351
290,0,37261,Tours,TOURS,JEAN-PHILIPPE RAMEAU - TOURS,0370886M,COLLÈGE JEAN-PHILIPPE RAMEAU,DESCARTES - TOURS,037DESC,1.7195921573,2539.92479568117,0.0922196927192
291,0,37261,Tours,TOURS,RABELAIS - TOURS,0370045Y,COLLÈGE RABELAIS,BALZAC - TOURS,037BALZ,6.51983342716,9627.22884994365,1.3953146167
292,0,37264,Vallères,VALLERES,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,9.75637509646,14385.8958560874,1.68680253935
293,35,37056,La Chapelle-aux-Naux,LA CHAPELLE AUX NAUX,LE CHAMP DE LA MOTTE - LANGEAIS,0370885L,COLLÈGE LE CHAMP DE LA MOTTE,RABELAIS - CHINON,037CHIN,10.6780920393,15738.2185054738,5.34050021247
