idENT_NCA;NOM;SOUS_TYPE;CODE_INSEE;TYPE;geometry
06088BA0244376A0;GROUPE SCOLAIRE PESSICART;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2387465, 43.72286714]}
06088AM0044282A0;GROUPE SCOLAIRE MADELEINE SUPERIEURE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.23039336, 43.70879898]}
06088AB100616A0;GROUPE SCOLAIRE CASSINI;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.30241362, 43.7206505]}
06088AL051714A;MATERNELLE ROSA BONHEUR;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24727872, 43.69331735]}
06088AL039317A;MATERNELLE AQUARELLE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28962781, 43.73025811]}
06088AB09684A;MATERNELLE PAPON;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28165159, 43.70127463]}
06088AG05061A;MATERNELLE LES MURIERS;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.30732079, 43.73867734]}
06088AP08367A;MATERNELLE SAINT CHARLES;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29341622, 43.71735553]}
06088AB03794A;MATERNELLE SAINT PHILIPPE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.24828265, 43.70150939]}
06088AR00723A;MATERNELLE VAL D'ARIANE;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29808935, 43.73803111]}
06088AR00723B;MATERNELLE LE MANOIR;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.29859646, 43.73803698]}
06088AF061617C;MATERNELLE SAINT BARTHELEMY;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.2551059, 43.71622355]}
06088AL00446A;MATERNELLE FUON CAUDA;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.26502269, 43.71238941]}
06088AP137517A;MATERNELLE PASTEUR;ECOLE PRIMAIRE;06088;EDUCATION;{"type": "Point", "coordinates": [7.28366006, 43.72215317]}
