Maison des Associations;Date;Heure de début;Heure de fin;Activité;Type de réservation;;Association
NICE-EST SAINT ROCH;27/10/2015;09H00;13H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;27/10/2015;09H00;13H00;ORGANISME PUBLIC;COURS;;POLE EDUCATION ROUTIERE
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;ENSEIGNEMENT;OCCUPATION PERMANENTE;;IFAC - INSTITUT DE FORMATION, D'ANIMATION ET DE CONSEIL
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;27/10/2015;09H00;17H00;SOCIAL;COURS;;ALAID
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;ORGANISME PUBLIC;OCCUPATION PERMANENTE;;CONSEIL DEPARTEMENTAL DES ALPES-MARITIMES
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;EMPLOI;OCCUPATION PERMANENTE;;AGIRabcd06  - ASS. GRALE DES INTERVENANTS RETRAITES 
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;SENIORS;OCCUPATION PERMANENTE;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;27/10/2015;09H00;21H00;PROXIMITE;OCCUPATION PERMANENTE;;MISSION LOCALE COMMUNAUTAIRE
NICE-EST SAINT ROCH;27/10/2015;14H00;17H00;LOISIRS;COURS;;LE CLAN DES BOULEGANS
NICE-EST SAINT ROCH;27/10/2015;14H00;18H00;HANDICAP;PERMANENCE;;INSEIT INSTITUT INTERNATIONAL POUR L'ETUDE ET L'INTEGRATION DES NOUVELLES TECHNIQUES ET TECHNOLOGIES
NICE-EST SAINT ROCH;27/10/2015;14H00;17H00;SENIORS;COURS;;CONSEIL DES SENIORS DE NICE 
NICE-EST SAINT ROCH;27/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/10/2015;16H00;20H00;SOCIAL;COURS;;AZUR ENTRAIDE
NICE-EST SAINT ROCH;27/10/2015;17H00;19H00;SANTE;COURS;;POLE PSY
NICE-EST SAINT ROCH;27/10/2015;18H00;19H00;CULTURE;ATELIER;;NUX VOMICA
NICE-EST SAINT ROCH;27/10/2015;18H00;21H00;EMPLOI;COURS;;ATHEMIS - ASSISTANCE DU TOURISME, L'HOTELLERIE ET LA MAIN D'OEUVRE INTERNATIONALE SPECIALISEE
NICE-EST SAINT ROCH;27/10/2015;18H00;19H00;CULTURE;COURS;;FRANCE RUSSIE
NICE-EST SAINT ROCH;27/10/2015;18H00;20H00;ACTIVITE BIEN ETRE;COURS;;LES PONTS DES PIES
NICE-EST SAINT ROCH;27/10/2015;19H00;21H00;CULTURE;ATELIER;;NUX VOMICA
NICE-EST SAINT ROCH;27/10/2015;19H00;20H00;CULTURE;ATELIER;;NUX VOMICA
NICE-EST SAINT ROCH;27/10/2015;19H00;21H00;MUSIQUE;COURS;;WAASLA
NICE-EST SAINT ROCH;27/10/2015;19H00;20H00;CULTURE;ATELIER;;NUX VOMICA
NICE-EST SAINT ROCH;27/10/2015;19H00;21H00;DANSE ;COURS;;AMICALEMENT DANSE
