Support d'identification,Catégorie,Déchetterie,Date,Heure,Produit,Quantité
24589,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,15:57:00,DECHETS VERTS,"0,00"
08012,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,16:10:00,DECHETS VERTS,"0,00"
07248,PROFESSIONNEL,SAUVETERRE DE GUYENNE,19/02/2013,16:32:00,NYLON,"0,00"
25085,PROFESSIONNEL,SAUVETERRE DE GUYENNE,19/02/2013,16:56:00,TOUT VENANT ENCOMBRANTS,"0,00"
07343,PARTICULIER,SAUVETERRE DE GUYENNE,19/02/2013,17:24:00,FERRAILLE,"0,00"
24678,PARTICULIER,GENSAC,20/02/2013,09:10:00,DECHETS VERTS,"1,00"
06085,PROFESSIONNEL,GENSAC,20/02/2013,09:11:00,DECHETS VERTS,"1,00"
08319,PARTICULIER,GENSAC,20/02/2013,09:12:00,TOUT VENANT ENCOMBRANTS,"1,00"
25540,PARTICULIER,GENSAC,20/02/2013,09:12:00,DECHETS VERTS,"1,00"
01262,PARTICULIER,GENSAC,20/02/2013,09:13:00,DECHETS VERTS,"1,00"
06923,PARTICULIER,GENSAC,20/02/2013,09:15:00,DECHETS VERTS,"1,00"
08144,PARTICULIER,GENSAC,20/02/2013,09:15:00,TOUT VENANT ENCOMBRANTS,"1,00"
08144,PARTICULIER,GENSAC,20/02/2013,09:15:00,FERRAILLE,"1,00"
08144,PARTICULIER,GENSAC,20/02/2013,09:15:00,CARTON,"1,00"
28300,PARTICULIER,GENSAC,20/02/2013,09:16:00,DECHETS VERTS,"1,00"
07841,PARTICULIER,GENSAC,20/02/2013,09:17:00,DECHETS VERTS,"1,00"
24768,PARTICULIER,GENSAC,20/02/2013,09:18:00,DECHETS VERTS,"1,00"
24768,PARTICULIER,GENSAC,20/02/2013,09:18:00,TOUT VENANT ENCOMBRANTS,"1,00"
24768,PARTICULIER,GENSAC,20/02/2013,09:18:00,CARTON,"1,00"
25175,PARTICULIER,GENSAC,20/02/2013,09:35:00,BOIS TRAITE,"1,00"
27473,PARTICULIER,GENSAC,20/02/2013,09:36:00,DECHETS VERTS,"1,00"
08111,PARTICULIER,GENSAC,20/02/2013,10:04:00,DECHETS VERTS,"1,00"
24821,PARTICULIER,GENSAC,20/02/2013,10:08:00,NYLON,"1,00"
24821,PARTICULIER,GENSAC,20/02/2013,10:08:00,CARTON,"1,00"
28305,PARTICULIER,GENSAC,20/02/2013,10:51:00,FERRAILLE,"1,00"
28305,PARTICULIER,GENSAC,20/02/2013,10:51:00,TOUT VENANT ENCOMBRANTS,"1,00"
08139,PARTICULIER,GENSAC,20/02/2013,11:02:00,TOUT VENANT ENCOMBRANTS,"1,00"
08139,PARTICULIER,GENSAC,20/02/2013,11:02:00,DECHETS VERTS,"1,00"
07247,PARTICULIER,GENSAC,20/02/2013,11:15:00,BOIS TRAITE,"1,00"
07247,PARTICULIER,GENSAC,20/02/2013,11:15:00,CARTON,"1,00"
07247,PARTICULIER,GENSAC,20/02/2013,11:15:00,DMS,"1,00"
06918,PARTICULIER,GENSAC,20/02/2013,14:09:00,TOUT VENANT ENCOMBRANTS,"1,00"
06918,PARTICULIER,GENSAC,20/02/2013,14:09:00,CARTON,"1,00"
06918,PARTICULIER,GENSAC,20/02/2013,14:09:00,VERRE CASSE,"1,00"
06313,PARTICULIER,GENSAC,20/02/2013,14:29:00,NYLON,"1,00"
06313,PARTICULIER,GENSAC,20/02/2013,14:29:00,TOUT VENANT ENCOMBRANTS,"1,00"
05747,PARTICULIER,GENSAC,20/02/2013,14:41:00,TOUT VENANT ENCOMBRANTS,"1,00"
05747,PARTICULIER,GENSAC,20/02/2013,14:41:00,FERRAILLE,"1,00"
05747,PARTICULIER,GENSAC,20/02/2013,14:41:00,BOIS TRAITE,"1,00"
00148,PARTICULIER,GENSAC,20/02/2013,15:21:00,TOUT VENANT ENCOMBRANTS,"1,00"
06911,PARTICULIER,GENSAC,20/02/2013,15:30:00,DECHETS VERTS,"1,00"
05662,PARTICULIER,RIMONS,20/02/2013,09:04:00,CARTON,"1,00"
24838,PARTICULIER,RIMONS,20/02/2013,10:20:00,CARTON,"1,00"
27501,PROFESSIONNEL,RIMONS,20/02/2013,11:11:00,CARTON,"1,00"
05358,PARTICULIER,RIMONS,20/02/2013,11:32:00,CARTON,"1,00"
07012,PARTICULIER,RIMONS,20/02/2013,14:25:00,CARTON,"1,00"
07792,PARTICULIER,RIMONS,20/02/2013,14:31:00,CARTON,"1,00"
05034,PARTICULIER,RIMONS,20/02/2013,14:35:00,CARTON,"1,00"
26310,PARTICULIER,RIMONS,20/02/2013,14:54:00,CARTON,"1,00"
24753,PARTICULIER,RIMONS,20/02/2013,14:54:00,CARTON,"1,00"
25583,PARTICULIER,RIMONS,20/02/2013,15:06:00,CARTON,"1,00"
07893,PARTICULIER,RIMONS,20/02/2013,15:15:00,CARTON,"1,00"
28238,PROFESSIONNEL,RIMONS,20/02/2013,15:35:00,CARTON,"1,00"
00085,PARTICULIER,RIMONS,20/02/2013,15:36:00,CARTON,"1,00"
25542,PARTICULIER,RIMONS,20/02/2013,15:49:00,CARTON,"1,00"
07606,PARTICULIER,RIMONS,20/02/2013,16:33:00,CARTON,"1,00"
26408,PARTICULIER,RIMONS,20/02/2013,16:39:00,CARTON,"1,00"
24681,PARTICULIER,RIMONS,20/02/2013,17:36:00,CARTON,"1,00"
25365,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,08:59:00,DECHETS VERTS,"0,00"
28357,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,09:15:00,DECHETS VERTS,"0,00"
28357,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,09:48:00,DECHETS VERTS,"0,00"
07248,PROFESSIONNEL,SAUVETERRE DE GUYENNE,20/02/2013,09:56:00,CARTON,"0,00"
05455,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,10:11:00,BOIS TRAITE,"0,00"
06574,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,10:11:00,BOIS TRAITE,"0,00"
06167,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,10:12:00,DECHETS VERTS,"0,00"
28360,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,10:23:00,DECHETS VERTS,"0,00"
07402,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,10:37:00,DECHETS VERTS,"0,00"
07471,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,11:03:00,DECHETS VERTS,"0,00"
06183,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,11:19:00,DECHETS VERTS,"0,00"
06956,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,14:17:00,DECHETS VERTS,"0,00"
06183,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,14:33:00,DECHETS VERTS,"0,00"
24919,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,14:35:00,DECHETS VERTS,"0,00"
28360,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,14:47:00,DECHETS VERTS,"0,00"
07471,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,15:07:00,DECHETS VERTS,"0,00"
24919,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,15:26:00,DECHETS VERTS,"0,00"
06183,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,15:30:00,DECHETS VERTS,"0,00"
05527,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,16:01:00,DECHETS VERTS,"0,00"
05265,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,16:07:00,DMS,"0,00"
06049,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,16:28:00,DECHETS VERTS,"0,00"
26550,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,16:38:00,DECHETS VERTS,"0,00"
06042,PROFESSIONNEL,SAUVETERRE DE GUYENNE,20/02/2013,16:41:00,DECHETS VERTS,"0,00"
26599,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,17:27:00,DECHETS VERTS,"0,00"
07926,PARTICULIER,SAUVETERRE DE GUYENNE,20/02/2013,17:36:00,DECHETS VERTS,"0,00"
06560,PARTICULIER,GENSAC,20/02/2013,09:10:00,FERRAILLE,"1,00"
24404,PARTICULIER,GENSAC,21/02/2013,09:01:00,FERRAILLE,"1,00"
24404,PARTICULIER,GENSAC,21/02/2013,09:01:00,TOUT VENANT ENCOMBRANTS,"1,00"
